,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.16345635097767722,0.2937709252886879,0.40429735465085254,0.7304192327467995,0.8550047296012981,0.8453163580792395,0.14715598249796707,0.28290695857907344,0.3836091533031597,0.7457230853076005,0.864124856431273,0.8485400033565533
DecisionTreeRegressor,0.3021774270926859,0.4050408850188492,0.549706673683962,0.501633175125944,0.7475299030365523,0.7337435918379596,0.16031513730921862,0.29010628630158725,0.4003937278594891,0.7229848368955054,0.8513628988950677,0.8402083373155393
RandomForestRegressor,0.1536066704470396,0.28852561549749006,0.3919268687485455,0.746663841284591,0.8641144401903771,0.8511884676958152,0.1481180693295986,0.28362965882331753,0.38486110394478495,0.7440606556390219,0.8633724081552256,0.8523308434797582
GradientBoostingRegressor,0.1606239500695924,0.29442621011881154,0.4007791786877063,0.7350905765361544,0.8578103238472907,0.8466019517422391,0.14742428289910597,0.28616208451649194,0.3839586994705368,0.745259477936332,0.8639977948740372,0.851639418238691
AdaBoostRegressor,0.17456234402618,0.3151216977153722,0.4178065868630843,0.7121026478651697,0.8448067077148536,0.8272146670230601,0.17467672159849415,0.3175868330272503,0.41794344306197,0.6981688608054932,0.8387089132317577,0.8279800066002476
XGBRegressor,0.17829939038811782,0.3102134738874638,0.4222551247624093,0.7059393154557148,0.8414270685960983,0.8289032138444625,0.15322201385018788,0.29090329122431974,0.3914358361854314,0.7352413385890029,0.8589926814560921,0.8451398709888757
ExtraTreesRegressor,0.15279802096649597,0.2873824466191866,0.3908938743015756,0.7479975083223045,0.864885161862242,0.8534795988461584,0.15037720812815294,0.28935020118191285,0.3877850024538764,0.740156996176409,0.8614505932618782,0.8482962797086717
LinearRegression,0.150980610207611,0.2882466038546427,0.3885622346646815,0.7509948772459588,0.8666849521288403,0.859378387289834,0.14268611800465797,0.2818131487122508,0.3777381606412807,0.7534467492263777,0.8693727690912099,0.8576503933143682
KNeighborsRegressor,0.17376688397178616,0.3102096886787699,0.416853552188039,0.7134145622111108,0.8453955714895989,0.8287223221141055,0.1685730977667821,0.3119123728306349,0.4105765431278096,0.708715565125803,0.8426366267705698,0.8245155022167138
SVR,0.16290826824993276,0.2991773527876532,0.40361896418519877,0.7313231594610559,0.8555037560266376,0.8443236807139736,0.14150985924507176,0.2801072688279244,0.37617796220016897,0.7554792554363894,0.8695269717228518,0.8573339275315803
MLPRegressor,0.19431293270525873,0.33381240074055746,0.4408094063257484,0.6795289435217053,0.8268288404881536,0.8168831108082494,0.17642385442843816,0.333598086518289,0.420028397169094,0.6951499176540511,0.8362378260119502,0.8216711584951674
