,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.15833772932755308,0.29410074353784954,0.39791673667684935,0.7388611314155626,0.8599318606074657,0.8444002760732643,0.1640778760651726,0.3035972965657006,0.4050652738327153,0.7164830448146384,0.8477237820989619,0.8283611851497886
DecisionTreeRegressor,0.2895206126291687,0.40218835224305555,0.538071196617296,0.5225074558354303,0.7635560234729686,0.7416287153833535,0.20235854547199897,0.33256848419603174,0.44984280084491624,0.6503362912549453,0.8112081136077809,0.776530389283899
RandomForestRegressor,0.14960758004506278,0.28672520105207355,0.38679139086213227,0.7532593504369215,0.8679172886143269,0.8530356479890115,0.16198966204165693,0.29644049014703955,0.40247939331307003,0.7200913562818552,0.8495186070594901,0.834710373656834
GradientBoostingRegressor,0.15290425939946106,0.29106324933614847,0.39102974234636045,0.7478222943394937,0.8649310887870953,0.8497225945542916,0.15891326451741655,0.2940536374106116,0.398639266151011,0.7254071909326277,0.8528456294681329,0.8352094446958038
AdaBoostRegressor,0.17211800431706975,0.31598169225606415,0.41487106951084185,0.7161339808190017,0.8471470663104771,0.8286999627434551,0.17339883163997735,0.3183531858857781,0.41641185338553627,0.7003769797718595,0.8411691279828272,0.8269240881096608
XGBRegressor,0.17679837103996673,0.31454410002606786,0.4204739837849266,0.7084148751088954,0.8432911593125658,0.8318488985069202,0.16449974019213243,0.3006405225784447,0.40558567552630903,0.715754088323697,0.8476103853951329,0.8306634362236243
ExtraTreesRegressor,0.15030454981576233,0.2874634004383035,0.3876913073770965,0.7521098714205746,0.8672436353195621,0.8526717645536582,0.16057294577182263,0.3010163538065159,0.40071554221395334,0.7225393589792173,0.8510494834491817,0.8375023217831825
LinearRegression,0.15418748853179878,0.2968925129444339,0.39266714725298674,0.7457059257065949,0.8636463268428156,0.8538031880266631,0.15409562450771525,0.29405598424844914,0.3925501554040136,0.7337317905647387,0.8581449235474986,0.8441098573569821
KNeighborsRegressor,0.17335326723743882,0.3108128398468254,0.41635713904944494,0.7140967205728213,0.8454782971604602,0.8251480865296495,0.18277033549286154,0.31975127407634923,0.4275164739432406,0.6841835702665937,0.8288434537236892,0.7997654642357268
SVR,0.16338973957589037,0.2994187918174872,0.4042149670359701,0.7305290917562177,0.855024593824321,0.8405154733547759,0.1482184335540383,0.2868911477547031,0.38499147205365253,0.7438872321403451,0.8626428354931036,0.8483720215192443
MLPRegressor,0.18829080606658805,0.3300791740738104,0.43392488528152895,0.6894609498955078,0.8307200227987819,0.8163120900326503,0.18082179144692972,0.32942517195713983,0.42523145632341186,0.6875505401969437,0.8336783069414828,0.8219242561295061
