,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.1634236222932857,0.29629034737415216,0.40425687661842646,0.7304732106057,0.855211150979625,0.8421127917599665,0.14136974306961284,0.28779618560936177,0.3759916795217852,0.7557213679770377,0.8706319921433702,0.8524767027090289
DecisionTreeRegressor,0.33096149416408516,0.4148556567728175,0.575292529209345,0.4541609855208114,0.7206680810944266,0.707355910061435,0.1825758252039642,0.31786917938095244,0.42728892473824337,0.6845196726478708,0.8317827515547925,0.8064945353097666
RandomForestRegressor,0.1597953132935305,0.2916285992756648,0.39974405973513916,0.7364572076675167,0.8582579686274192,0.846524066049991,0.1447963804915868,0.286765651654762,0.38052119585062116,0.7498003393063815,0.8672219072707982,0.851778903157171
GradientBoostingRegressor,0.164411713290596,0.29514700360261537,0.40547714274740077,0.7288435992288544,0.8541326750025008,0.842057087913738,0.1443220138025709,0.28782940263863216,0.3798973727239646,0.7506200171480042,0.8685166779302218,0.8556158632937442
AdaBoostRegressor,0.18210898292281444,0.3193436614624562,0.4267422909940078,0.6996563361020045,0.837539390026157,0.8251814175946035,0.16672094104230137,0.31846635410222035,0.4083147573163397,0.7119159834128015,0.8480614178680882,0.8381822500655846
XGBRegressor,0.17544562024630928,0.3101374067938601,0.41886229270048797,0.7106459025035199,0.8442671045087484,0.8319172884065519,0.1434511319049395,0.2905725119808224,0.3787494315572493,0.7521248500350683,0.8689483156313201,0.8548764432420172
ExtraTreesRegressor,0.15512636101479224,0.2883943835190477,0.3938608396563337,0.74415748807903,0.862667458264832,0.8495911152168405,0.14849535122189164,0.29372141912913496,0.38535094553133203,0.7434087346371496,0.8637443562160353,0.8474537458059179
LinearRegression,0.15439397461616194,0.2907909391035776,0.3929299869139055,0.7453653780514149,0.8634458582954132,0.8541997066342921,0.15378423877152023,0.2965856043144993,0.39215333579037703,0.7342698468702646,0.8588013519133894,0.8505096653908951
KNeighborsRegressor,0.18598141989333072,0.32058278290813497,0.4312556317236109,0.693269710416264,0.8335100203446695,0.8134706540240838,0.16743378281493215,0.31495351036380953,0.40918673342977796,0.7106842346008841,0.8452000323165915,0.8222541204520222
SVR,0.15723650151356752,0.2910739197198214,0.3965305808050213,0.7406773339506072,0.8608683818829684,0.8477535842461438,0.14227257384668596,0.2868083157194214,0.377190368178571,0.7541613292984426,0.8689050202770034,0.8559184555765756
MLPRegressor,0.18512578262981189,0.33221710134872035,0.430262457843828,0.6946808721644016,0.8337994724278305,0.8158300867470674,0.17732018214317227,0.3301741847447197,0.4210940300493137,0.6936011158861106,0.8367145076135477,0.8239359136231751
