,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2684,0.3890,0.5181,0.5574,0.7473,0.7177,0.2215,0.3587,0.4706,0.6173,0.7859,0.7615
DecisionTreeRegressor,0.3663,0.4315,0.6052,0.3959,0.6857,0.6548,0.2571,0.3691,0.5071,0.5557,0.7582,0.7386
RandomForestRegressor,0.2618,0.3761,0.5117,0.5682,0.7561,0.7262,0.2281,0.3571,0.4776,0.6058,0.7792,0.7481
GradientBoostingRegressor,0.2601,0.3828,0.5100,0.5711,0.7558,0.7179,0.2123,0.3580,0.4608,0.6332,0.8001,0.7616
AdaBoostRegressor,0.3602,0.4956,0.6002,0.4059,0.6481,0.6014,0.3494,0.4955,0.5911,0.3963,0.6541,0.6192
XGBRegressor,0.2835,0.3905,0.5325,0.5324,0.7414,0.7117,0.2192,0.3431,0.4682,0.6212,0.7909,0.7690
ExtraTreesRegressor,0.2741,0.3827,0.5236,0.5479,0.7493,0.7193,0.2168,0.3433,0.4656,0.6254,0.7936,0.7732
LinearRegression,0.4009,0.5017,0.6331,0.3389,0.5826,0.5313,0.3402,0.4863,0.5833,0.4121,0.6460,0.5732
KNeighborsRegressor,0.2948,0.3989,0.5429,0.5139,0.7281,0.6945,0.2463,0.3801,0.4963,0.5744,0.7627,0.7365
SVR,0.2836,0.4042,0.5326,0.5323,0.7317,0.6915,0.2128,0.3644,0.4614,0.6322,0.7999,0.7577
MLPRegressor,0.3641,0.4643,0.6034,0.3996,0.6472,0.6274,0.2950,0.4354,0.5431,0.4903,0.7023,0.6770
