,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2111,0.3445,0.4594,0.6519,0.8075,0.7879,0.1678,0.3227,0.4097,0.7100,0.8451,0.8278
DecisionTreeRegressor,0.3151,0.4057,0.5614,0.4803,0.7347,0.7095,0.1853,0.3150,0.4305,0.6798,0.8274,0.8039
RandomForestRegressor,0.1885,0.3172,0.4342,0.6891,0.8307,0.8050,0.1612,0.3069,0.4015,0.7215,0.8501,0.8347
GradientBoostingRegressor,0.2034,0.3421,0.4511,0.6645,0.8189,0.7953,0.1913,0.3480,0.4374,0.6695,0.8259,0.7927
AdaBoostRegressor,0.3476,0.4931,0.5896,0.4267,0.7037,0.6608,0.3324,0.4945,0.5766,0.4256,0.7268,0.6731
XGBRegressor,0.1913,0.3222,0.4373,0.6845,0.8292,0.8027,0.1523,0.2976,0.3903,0.7368,0.8595,0.8472
ExtraTreesRegressor,0.1835,0.3098,0.4284,0.6973,0.8363,0.8124,0.1687,0.3067,0.4107,0.7085,0.8418,0.8248
LinearRegression,0.4587,0.4439,0.6773,0.2435,0.6599,0.7239,0.3791,0.4237,0.6157,0.3450,0.6608,0.6798
KNeighborsRegressor,0.2924,0.3928,0.5407,0.5178,0.7241,0.7018,0.3292,0.4185,0.5738,0.4312,0.6698,0.6651
SVR,0.2500,0.3709,0.5000,0.5878,0.7692,0.7608,0.2136,0.3598,0.4622,0.6309,0.7996,0.7786
MLPRegressor,0.7691,0.5922,0.8770,-0.2684,0.5986,0.6582,0.3967,0.4575,0.6298,0.3145,0.6962,0.7116
