,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2111,0.3445,0.4594,0.6519,0.8075,0.7879,0.1678,0.3227,0.4097,0.7100,0.8451,0.8278
DecisionTreeRegressor,0.3136,0.4073,0.5600,0.4827,0.7356,0.7101,0.1914,0.3187,0.4375,0.6693,0.8217,0.7984
RandomForestRegressor,0.1884,0.3171,0.4341,0.6892,0.8309,0.8060,0.1615,0.3072,0.4019,0.7209,0.8497,0.8345
GradientBoostingRegressor,0.2041,0.3424,0.4517,0.6635,0.8183,0.7947,0.1908,0.3472,0.4368,0.6703,0.8263,0.7936
AdaBoostRegressor,0.3443,0.4908,0.5867,0.4322,0.6995,0.6529,0.3308,0.4942,0.5752,0.4284,0.7273,0.6842
XGBRegressor,0.1913,0.3222,0.4373,0.6845,0.8292,0.8027,0.1523,0.2976,0.3903,0.7368,0.8595,0.8472
ExtraTreesRegressor,0.1869,0.3126,0.4323,0.6918,0.8330,0.8107,0.1709,0.3083,0.4134,0.7046,0.8395,0.8217
LinearRegression,0.4587,0.4439,0.6773,0.2435,0.6599,0.7239,0.3791,0.4237,0.6157,0.3450,0.6608,0.6798
KNeighborsRegressor,0.2924,0.3928,0.5407,0.5178,0.7241,0.7018,0.3292,0.4185,0.5738,0.4312,0.6698,0.6651
SVR,0.2500,0.3709,0.5000,0.5878,0.7692,0.7608,0.2136,0.3598,0.4622,0.6309,0.7996,0.7786
MLPRegressor,0.7663,0.6055,0.8754,-0.2638,0.5960,0.6461,0.4489,0.4917,0.6700,0.2243,0.6945,0.7005
