,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1846,0.3200,0.4296,0.6956,0.8355,0.8186,0.1557,0.3055,0.3946,0.7310,0.8579,0.8459
DecisionTreeRegressor,0.3835,0.4564,0.6193,0.3675,0.6789,0.6497,0.2243,0.3618,0.4736,0.6124,0.7849,0.7712
RandomForestRegressor,0.2054,0.3387,0.4533,0.6612,0.8180,0.7974,0.1774,0.3298,0.4212,0.6935,0.8386,0.8272
GradientBoostingRegressor,0.1939,0.3338,0.4404,0.6801,0.8263,0.8039,0.1589,0.3137,0.3986,0.7254,0.8572,0.8409
AdaBoostRegressor,0.2623,0.4099,0.5122,0.5674,0.7726,0.7326,0.2434,0.4141,0.4933,0.5795,0.7850,0.7567
XGBRegressor,0.2006,0.3365,0.4479,0.6691,0.8180,0.7988,0.1674,0.3119,0.4092,0.7107,0.8445,0.8348
ExtraTreesRegressor,0.1741,0.3061,0.4173,0.7129,0.8458,0.8314,0.1550,0.2959,0.3937,0.7322,0.8578,0.8503
LinearRegression,1.5619,0.9249,1.2498,-1.5759,0.4100,0.4604,0.7023,0.6271,0.8381,-0.2136,0.5551,0.5926
KNeighborsRegressor,0.2225,0.3393,0.4717,0.6331,0.8019,0.7769,0.1963,0.3317,0.4430,0.6608,0.8162,0.7992
SVR,0.2037,0.3355,0.4514,0.6640,0.8177,0.8075,0.1664,0.3227,0.4079,0.7125,0.8481,0.8356
MLPRegressor,1.5124,0.8708,1.2298,-1.4943,0.2996,0.3724,0.7015,0.6219,0.8376,-0.2122,0.5031,0.5102
