,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1840,0.3215,0.4290,0.6965,0.8357,0.8181,0.1556,0.3051,0.3945,0.7311,0.8580,0.8468
DecisionTreeRegressor,0.4284,0.4774,0.6545,0.2934,0.6528,0.6321,0.2026,0.3456,0.4501,0.6499,0.8068,0.7822
RandomForestRegressor,0.2030,0.3380,0.4506,0.6651,0.8196,0.7982,0.1751,0.3269,0.4184,0.6975,0.8409,0.8272
GradientBoostingRegressor,0.1934,0.3299,0.4398,0.6810,0.8265,0.8025,0.1603,0.3117,0.4003,0.7231,0.8545,0.8385
AdaBoostRegressor,0.2656,0.4128,0.5154,0.5619,0.7706,0.7334,0.2512,0.4217,0.5012,0.5660,0.7766,0.7350
XGBRegressor,0.2200,0.3490,0.4690,0.6372,0.7984,0.7727,0.1707,0.3152,0.4132,0.7050,0.8414,0.8286
ExtraTreesRegressor,0.1742,0.3039,0.4173,0.7127,0.8454,0.8322,0.1519,0.2944,0.3897,0.7376,0.8612,0.8495
LinearRegression,2.2766,1.1839,1.5089,-2.7547,0.3352,0.3510,0.7238,0.6617,0.8508,-0.2508,0.5283,0.5326
KNeighborsRegressor,0.2208,0.3406,0.4699,0.6358,0.8030,0.7817,0.1989,0.3399,0.4460,0.6563,0.8134,0.7959
SVR,0.2034,0.3350,0.4510,0.6645,0.8180,0.8099,0.1654,0.3232,0.4067,0.7141,0.8498,0.8405
MLPRegressor,1.4670,0.9074,1.2112,-1.4195,0.4388,0.4621,0.4270,0.5083,0.6534,0.2622,0.7049,0.7156
