,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1846,0.3200,0.4296,0.6956,0.8355,0.8186,0.1557,0.3055,0.3946,0.7310,0.8579,0.8459
DecisionTreeRegressor,0.3938,0.4601,0.6276,0.3505,0.6747,0.6508,0.2083,0.3455,0.4564,0.6401,0.8010,0.7793
RandomForestRegressor,0.2069,0.3395,0.4548,0.6588,0.8164,0.7949,0.1779,0.3300,0.4217,0.6927,0.8382,0.8260
GradientBoostingRegressor,0.1941,0.3333,0.4406,0.6799,0.8261,0.8040,0.1599,0.3149,0.3999,0.7236,0.8560,0.8391
AdaBoostRegressor,0.2662,0.4129,0.5159,0.5610,0.7673,0.7369,0.2470,0.4193,0.4970,0.5732,0.7811,0.7410
XGBRegressor,0.2006,0.3365,0.4479,0.6691,0.8180,0.7988,0.1674,0.3119,0.4092,0.7107,0.8445,0.8348
ExtraTreesRegressor,0.1744,0.3034,0.4176,0.7124,0.8454,0.8323,0.1542,0.2963,0.3926,0.7336,0.8588,0.8500
LinearRegression,1.5619,0.9249,1.2498,-1.5759,0.4100,0.4604,0.7023,0.6271,0.8381,-0.2136,0.5551,0.5926
KNeighborsRegressor,0.2225,0.3393,0.4717,0.6331,0.8019,0.7769,0.1963,0.3317,0.4430,0.6608,0.8162,0.7992
SVR,0.2037,0.3355,0.4514,0.6640,0.8177,0.8075,0.1664,0.3227,0.4079,0.7125,0.8481,0.8356
MLPRegressor,1.4616,0.8828,1.2090,-1.4105,0.3973,0.4347,0.4626,0.5270,0.6802,0.2006,0.6168,0.6137
