,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1803,0.3134,0.4246,0.7027,0.8390,0.8213,0.1534,0.2964,0.3916,0.7350,0.8590,0.8512
DecisionTreeRegressor,0.4120,0.4686,0.6419,0.3204,0.6589,0.6291,0.1914,0.3427,0.4375,0.6692,0.8191,0.7966
RandomForestRegressor,0.1997,0.3318,0.4469,0.6706,0.8222,0.8055,0.1628,0.3119,0.4034,0.7188,0.8527,0.8449
GradientBoostingRegressor,0.1874,0.3244,0.4329,0.6909,0.8328,0.8167,0.1552,0.3041,0.3939,0.7319,0.8591,0.8444
AdaBoostRegressor,0.2696,0.4240,0.5192,0.5554,0.7628,0.7284,0.2455,0.4177,0.4955,0.5758,0.7833,0.7601
XGBRegressor,0.2086,0.3364,0.4567,0.6559,0.8110,0.7932,0.1542,0.2943,0.3927,0.7335,0.8576,0.8455
ExtraTreesRegressor,0.1780,0.3038,0.4219,0.7064,0.8409,0.8293,0.1500,0.2903,0.3873,0.7408,0.8621,0.8505
LinearRegression,9.0745,2.7587,3.0124,-13.9661,0.0523,0.0242,2.8559,1.3313,1.6899,-3.9348,0.0695,0.0839
KNeighborsRegressor,0.2060,0.3289,0.4538,0.6603,0.8166,0.7924,0.1927,0.3317,0.4390,0.6670,0.8197,0.8021
SVR,0.2010,0.3322,0.4483,0.6685,0.8201,0.8129,0.1613,0.3167,0.4016,0.7213,0.8531,0.8410
MLPRegressor,1.5980,0.8663,1.2641,-1.6355,0.3072,0.4074,0.4005,0.4904,0.6328,0.3080,0.6370,0.7029
