,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1862,0.3204,0.4315,0.6929,0.8328,0.8147,0.1510,0.2936,0.3886,0.7391,0.8620,0.8519
DecisionTreeRegressor,0.3836,0.4523,0.6194,0.3673,0.6855,0.6597,0.2027,0.3301,0.4502,0.6498,0.8088,0.7886
RandomForestRegressor,0.1963,0.3300,0.4430,0.6763,0.8254,0.8075,0.1611,0.3106,0.4014,0.7216,0.8543,0.8452
GradientBoostingRegressor,0.1900,0.3289,0.4359,0.6866,0.8296,0.8067,0.1545,0.3011,0.3931,0.7330,0.8598,0.8458
AdaBoostRegressor,0.2638,0.4082,0.5136,0.5650,0.7693,0.7268,0.2440,0.4131,0.4939,0.5785,0.7832,0.7440
XGBRegressor,0.2186,0.3434,0.4675,0.6395,0.8017,0.7834,0.1553,0.2924,0.3941,0.7317,0.8567,0.8438
ExtraTreesRegressor,0.1743,0.2993,0.4175,0.7126,0.8445,0.8323,0.1488,0.2885,0.3858,0.7428,0.8632,0.8545
LinearRegression,9.1202,2.7721,3.0200,-14.0416,0.0325,-0.0048,3.1393,1.3979,1.7718,-4.4245,-0.0109,-0.0110
KNeighborsRegressor,0.2115,0.3315,0.4599,0.6512,0.8120,0.7941,0.1925,0.3334,0.4387,0.6674,0.8196,0.8043
SVR,0.2006,0.3310,0.4479,0.6692,0.8207,0.8141,0.1591,0.3153,0.3989,0.7250,0.8557,0.8453
MLPRegressor,1.0900,0.7601,1.0440,-0.7977,0.4252,0.4692,0.4826,0.5076,0.6947,0.1661,0.5739,0.5952
