,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1958,0.3265,0.4424,0.6772,0.8230,0.8055,0.1596,0.3097,0.3995,0.7242,0.8535,0.8432
DecisionTreeRegressor,0.3791,0.4457,0.6157,0.3748,0.6860,0.6613,0.2004,0.3431,0.4477,0.6537,0.8104,0.7838
RandomForestRegressor,0.2050,0.3358,0.4528,0.6619,0.8161,0.7959,0.1737,0.3273,0.4168,0.6998,0.8416,0.8265
GradientBoostingRegressor,0.1984,0.3340,0.4454,0.6728,0.8212,0.7994,0.1633,0.3192,0.4041,0.7178,0.8521,0.8348
AdaBoostRegressor,0.2824,0.4285,0.5314,0.5343,0.7441,0.7009,0.2581,0.4285,0.5081,0.5539,0.7657,0.7360
XGBRegressor,0.2132,0.3406,0.4618,0.6483,0.8062,0.7890,0.1677,0.3073,0.4095,0.7103,0.8444,0.8298
ExtraTreesRegressor,0.1798,0.3083,0.4241,0.7034,0.8392,0.8241,0.1574,0.3019,0.3967,0.7281,0.8551,0.8452
LinearRegression,0.3235,0.4001,0.5687,0.4665,0.7318,0.7571,0.3065,0.3722,0.5536,0.4704,0.7266,0.7868
KNeighborsRegressor,0.2008,0.3229,0.4481,0.6688,0.8237,0.8045,0.1853,0.3237,0.4304,0.6799,0.8273,0.8117
SVR,0.1848,0.3203,0.4299,0.6952,0.8365,0.8341,0.1549,0.3126,0.3936,0.7323,0.8601,0.8427
MLPRegressor,0.4162,0.4709,0.6451,0.3136,0.6913,0.7125,0.3374,0.4169,0.5808,0.4170,0.7238,0.7496
