,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1803,0.3134,0.4246,0.7027,0.8390,0.8213,0.1534,0.2964,0.3916,0.7350,0.8590,0.8512
DecisionTreeRegressor,0.4037,0.4633,0.6354,0.3341,0.6676,0.6395,0.1951,0.3416,0.4416,0.6630,0.8160,0.8025
RandomForestRegressor,0.1988,0.3304,0.4459,0.6721,0.8230,0.8065,0.1631,0.3130,0.4038,0.7182,0.8525,0.8447
GradientBoostingRegressor,0.1876,0.3245,0.4331,0.6906,0.8325,0.8157,0.1554,0.3048,0.3943,0.7314,0.8588,0.8453
AdaBoostRegressor,0.2676,0.4175,0.5173,0.5587,0.7656,0.7234,0.2465,0.4193,0.4965,0.5740,0.7816,0.7643
XGBRegressor,0.2086,0.3364,0.4567,0.6559,0.8110,0.7932,0.1542,0.2943,0.3927,0.7335,0.8576,0.8455
ExtraTreesRegressor,0.1736,0.3008,0.4166,0.7137,0.8452,0.8350,0.1511,0.2905,0.3887,0.7389,0.8610,0.8493
LinearRegression,9.0745,2.7587,3.0124,-13.9661,0.0523,0.0242,2.8559,1.3313,1.6899,-3.9348,0.0695,0.0839
KNeighborsRegressor,0.2060,0.3289,0.4538,0.6603,0.8166,0.7924,0.1927,0.3317,0.4390,0.6670,0.8197,0.8021
SVR,0.2010,0.3322,0.4483,0.6685,0.8201,0.8129,0.1613,0.3167,0.4016,0.7213,0.8531,0.8409
MLPRegressor,1.8227,0.9441,1.3501,-2.0060,0.2700,0.3393,0.4973,0.5445,0.7052,0.1406,0.5306,0.5898
