,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1883,0.3190,0.4339,0.6894,0.8307,0.8129,0.1571,0.3025,0.3963,0.7286,0.8552,0.8473
DecisionTreeRegressor,0.3845,0.4479,0.6201,0.3658,0.6920,0.6669,0.1944,0.3408,0.4409,0.6641,0.8175,0.8019
RandomForestRegressor,0.1999,0.3339,0.4471,0.6704,0.8222,0.8037,0.1685,0.3169,0.4104,0.7089,0.8466,0.8398
GradientBoostingRegressor,0.2026,0.3379,0.4501,0.6659,0.8170,0.8003,0.1596,0.3072,0.3995,0.7242,0.8544,0.8423
AdaBoostRegressor,0.2721,0.4185,0.5217,0.5512,0.7613,0.7205,0.2461,0.4185,0.4961,0.5747,0.7841,0.7499
XGBRegressor,0.2042,0.3307,0.4519,0.6632,0.8152,0.8018,0.1603,0.3015,0.4004,0.7230,0.8521,0.8403
ExtraTreesRegressor,0.1815,0.3082,0.4261,0.7006,0.8376,0.8246,0.1583,0.2987,0.3978,0.7265,0.8536,0.8435
LinearRegression,9.4694,2.8239,3.0772,-14.6174,-0.0417,-0.0741,2.5425,1.2750,1.5945,-3.3933,0.0107,-0.0057
KNeighborsRegressor,0.2170,0.3372,0.4658,0.6422,0.8062,0.7799,0.1917,0.3306,0.4379,0.6687,0.8200,0.8030
SVR,0.2032,0.3332,0.4507,0.6649,0.8183,0.8108,0.1672,0.3210,0.4089,0.7110,0.8469,0.8315
MLPRegressor,0.5572,0.5558,0.7464,0.0811,0.6484,0.6709,0.2680,0.3876,0.5177,0.5369,0.7819,0.7878
