,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1835,0.3184,0.4284,0.6973,0.8356,0.8176,0.1561,0.3004,0.3952,0.7302,0.8561,0.8481
DecisionTreeRegressor,0.4140,0.4712,0.6434,0.3172,0.6623,0.6493,0.2042,0.3489,0.4519,0.6472,0.8063,0.7894
RandomForestRegressor,0.1960,0.3303,0.4427,0.6768,0.8259,0.8077,0.1688,0.3164,0.4109,0.7083,0.8456,0.8364
GradientBoostingRegressor,0.1960,0.3334,0.4428,0.6767,0.8237,0.8077,0.1548,0.3021,0.3934,0.7325,0.8598,0.8435
AdaBoostRegressor,0.2708,0.4185,0.5204,0.5534,0.7611,0.7163,0.2482,0.4199,0.4982,0.5712,0.7826,0.7553
XGBRegressor,0.1947,0.3265,0.4413,0.6789,0.8242,0.8077,0.1612,0.3025,0.4016,0.7214,0.8504,0.8381
ExtraTreesRegressor,0.1750,0.3007,0.4184,0.7113,0.8440,0.8325,0.1550,0.2955,0.3937,0.7321,0.8568,0.8465
LinearRegression,1.5056,0.8507,1.2270,-1.4831,0.4130,0.4960,0.6634,0.5738,0.8145,-0.1463,0.5530,0.6227
KNeighborsRegressor,0.2116,0.3328,0.4600,0.6510,0.8116,0.7903,0.2016,0.3368,0.4490,0.6517,0.8104,0.7927
SVR,0.2024,0.3333,0.4499,0.6662,0.8190,0.8117,0.1644,0.3200,0.4054,0.7160,0.8504,0.8381
MLPRegressor,0.4962,0.5235,0.7044,0.1816,0.6294,0.6393,0.2580,0.4009,0.5079,0.5542,0.7660,0.7711
