,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1883,0.3190,0.4339,0.6894,0.8307,0.8129,0.1571,0.3025,0.3963,0.7286,0.8552,0.8473
DecisionTreeRegressor,0.3916,0.4528,0.6257,0.3542,0.6837,0.6573,0.1875,0.3330,0.4330,0.6761,0.8250,0.8128
RandomForestRegressor,0.2005,0.3352,0.4478,0.6693,0.8216,0.8025,0.1696,0.3174,0.4118,0.7070,0.8454,0.8380
GradientBoostingRegressor,0.2019,0.3376,0.4493,0.6670,0.8177,0.8008,0.1593,0.3069,0.3991,0.7247,0.8546,0.8428
AdaBoostRegressor,0.2656,0.4149,0.5154,0.5620,0.7698,0.7309,0.2477,0.4206,0.4977,0.5721,0.7844,0.7586
XGBRegressor,0.2042,0.3307,0.4519,0.6632,0.8152,0.8018,0.1603,0.3015,0.4004,0.7230,0.8521,0.8403
ExtraTreesRegressor,0.1786,0.3064,0.4226,0.7055,0.8406,0.8274,0.1569,0.2964,0.3961,0.7288,0.8551,0.8452
LinearRegression,9.4694,2.8239,3.0772,-14.6174,-0.0417,-0.0741,2.5425,1.2750,1.5945,-3.3933,0.0107,-0.0057
KNeighborsRegressor,0.2170,0.3372,0.4658,0.6422,0.8062,0.7799,0.1917,0.3306,0.4379,0.6687,0.8200,0.8030
SVR,0.2032,0.3332,0.4507,0.6649,0.8183,0.8108,0.1672,0.3210,0.4089,0.7110,0.8469,0.8315
MLPRegressor,1.0309,0.7208,1.0153,-0.7003,0.4293,0.5007,0.3093,0.4423,0.5561,0.4655,0.7144,0.7185
