,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1988,0.3241,0.4458,0.6722,0.8199,0.8009,0.1519,0.2934,0.3898,0.7375,0.8609,0.8498
DecisionTreeRegressor,0.3498,0.4220,0.5914,0.4232,0.7076,0.6817,0.2040,0.3212,0.4517,0.6475,0.8074,0.7853
RandomForestRegressor,0.1915,0.3233,0.4376,0.6842,0.8289,0.8132,0.1625,0.3082,0.4031,0.7192,0.8516,0.8390
GradientBoostingRegressor,0.2010,0.3316,0.4484,0.6684,0.8182,0.8001,0.1586,0.3091,0.3982,0.7260,0.8560,0.8354
AdaBoostRegressor,0.2834,0.4334,0.5324,0.5326,0.7557,0.7056,0.2566,0.4312,0.5065,0.5567,0.7823,0.7513
XGBRegressor,0.2060,0.3288,0.4538,0.6603,0.8145,0.7962,0.1698,0.3066,0.4121,0.7065,0.8411,0.8254
ExtraTreesRegressor,0.1812,0.3038,0.4256,0.7012,0.8377,0.8248,0.1600,0.2951,0.4001,0.7235,0.8511,0.8417
LinearRegression,2.6046,1.1329,1.6139,-3.2956,0.2941,0.3741,0.9937,0.6847,0.9968,-0.7170,0.4105,0.4741
KNeighborsRegressor,0.2154,0.3374,0.4641,0.6448,0.8069,0.7875,0.1883,0.3318,0.4339,0.6747,0.8231,0.8063
SVR,0.2022,0.3335,0.4497,0.6665,0.8188,0.8088,0.1656,0.3208,0.4070,0.7138,0.8482,0.8369
MLPRegressor,0.5634,0.5717,0.7506,0.0709,0.6057,0.6083,0.2967,0.4186,0.5447,0.4873,0.7478,0.7561
