,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1890,0.3197,0.4347,0.6883,0.8298,0.8114,0.1530,0.2921,0.3911,0.7357,0.8593,0.8485
DecisionTreeRegressor,0.3527,0.4261,0.5939,0.4184,0.7090,0.6825,0.1948,0.3336,0.4413,0.6635,0.8179,0.7996
RandomForestRegressor,0.1912,0.3237,0.4373,0.6847,0.8297,0.8130,0.1619,0.3089,0.4024,0.7202,0.8523,0.8419
GradientBoostingRegressor,0.1976,0.3276,0.4445,0.6741,0.8215,0.8016,0.1567,0.3058,0.3958,0.7293,0.8574,0.8405
AdaBoostRegressor,0.2860,0.4335,0.5348,0.5284,0.7504,0.7094,0.2577,0.4285,0.5076,0.5547,0.7765,0.7526
XGBRegressor,0.2124,0.3321,0.4608,0.6498,0.8084,0.7925,0.1642,0.3024,0.4052,0.7163,0.8468,0.8375
ExtraTreesRegressor,0.1808,0.3051,0.4253,0.7017,0.8381,0.8250,0.1621,0.2973,0.4026,0.7200,0.8492,0.8393
LinearRegression,3.9737,1.5466,1.9934,-5.5537,0.2280,0.2570,1.2861,0.8620,1.1341,-1.2223,0.3193,0.3394
KNeighborsRegressor,0.2133,0.3352,0.4619,0.6482,0.8100,0.7860,0.2027,0.3382,0.4503,0.6497,0.8099,0.7905
SVR,0.2018,0.3340,0.4492,0.6672,0.8189,0.8066,0.1681,0.3217,0.4100,0.7095,0.8454,0.8328
MLPRegressor,1.1819,0.7439,1.0872,-0.9493,0.4106,0.4868,0.4409,0.5044,0.6640,0.2381,0.6276,0.6387
