,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1890,0.3197,0.4347,0.6883,0.8298,0.8114,0.1530,0.2921,0.3911,0.7357,0.8593,0.8485
DecisionTreeRegressor,0.3626,0.4325,0.6021,0.4021,0.7012,0.6750,0.1972,0.3394,0.4440,0.6593,0.8153,0.7969
RandomForestRegressor,0.1931,0.3265,0.4394,0.6816,0.8276,0.8105,0.1612,0.3083,0.4015,0.7215,0.8532,0.8428
GradientBoostingRegressor,0.1979,0.3282,0.4449,0.6735,0.8211,0.8009,0.1565,0.3054,0.3956,0.7296,0.8575,0.8406
AdaBoostRegressor,0.2931,0.4433,0.5414,0.5165,0.7440,0.7004,0.2583,0.4314,0.5082,0.5537,0.7825,0.7612
XGBRegressor,0.2124,0.3321,0.4608,0.6498,0.8084,0.7925,0.1642,0.3024,0.4052,0.7163,0.8468,0.8375
ExtraTreesRegressor,0.1812,0.3069,0.4257,0.7012,0.8377,0.8249,0.1621,0.2973,0.4026,0.7200,0.8490,0.8399
LinearRegression,3.9737,1.5466,1.9934,-5.5537,0.2280,0.2570,1.2861,0.8620,1.1341,-1.2223,0.3193,0.3394
KNeighborsRegressor,0.2131,0.3357,0.4616,0.6486,0.8104,0.7857,0.2006,0.3369,0.4479,0.6533,0.8120,0.7933
SVR,0.2018,0.3340,0.4492,0.6672,0.8189,0.8066,0.1681,0.3217,0.4100,0.7095,0.8454,0.8328
MLPRegressor,0.9626,0.7191,0.9811,-0.5876,0.5053,0.5251,0.5268,0.5329,0.7258,0.0897,0.6522,0.6577
