,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1923,0.3182,0.4385,0.6829,0.8265,0.8108,0.1488,0.2965,0.3857,0.7429,0.8639,0.8564
DecisionTreeRegressor,0.3232,0.4101,0.5685,0.4670,0.7267,0.6994,0.1925,0.3225,0.4388,0.6673,0.8205,0.8052
RandomForestRegressor,0.1969,0.3234,0.4438,0.6752,0.8227,0.8082,0.1514,0.3016,0.3891,0.7384,0.8619,0.8543
GradientBoostingRegressor,0.2002,0.3314,0.4475,0.6698,0.8198,0.8031,0.1552,0.3084,0.3940,0.7318,0.8593,0.8502
AdaBoostRegressor,0.2996,0.4459,0.5473,0.5059,0.7326,0.6875,0.2648,0.4362,0.5146,0.5424,0.7714,0.7498
XGBRegressor,0.1940,0.3162,0.4404,0.6801,0.8265,0.8122,0.1520,0.2924,0.3899,0.7374,0.8588,0.8524
ExtraTreesRegressor,0.1874,0.3115,0.4329,0.6909,0.8316,0.8185,0.1531,0.2944,0.3913,0.7354,0.8577,0.8518
LinearRegression,0.4323,0.4277,0.6575,0.2870,0.6403,0.7292,0.2678,0.3895,0.5175,0.5373,0.7439,0.7635
KNeighborsRegressor,0.2363,0.3455,0.4861,0.6103,0.7873,0.7615,0.1850,0.3354,0.4301,0.6804,0.8266,0.8166
SVR,0.2157,0.3494,0.4644,0.6443,0.8056,0.7957,0.1628,0.3164,0.4035,0.7186,0.8518,0.8434
MLPRegressor,0.4063,0.4548,0.6374,0.3300,0.6829,0.7076,0.2364,0.3849,0.4862,0.5915,0.7925,0.8034
