,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2034,0.3288,0.4510,0.6645,0.8153,0.7966,0.1596,0.3095,0.3995,0.7242,0.8528,0.8444
DecisionTreeRegressor,0.3450,0.4141,0.5873,0.4311,0.7176,0.6918,0.1980,0.3314,0.4450,0.6578,0.8145,0.7998
RandomForestRegressor,0.1994,0.3258,0.4465,0.6711,0.8198,0.8014,0.1609,0.3114,0.4011,0.7220,0.8517,0.8447
GradientBoostingRegressor,0.2076,0.3382,0.4556,0.6576,0.8117,0.7925,0.1667,0.3199,0.4083,0.7119,0.8473,0.8331
AdaBoostRegressor,0.2983,0.4481,0.5462,0.5080,0.7380,0.6889,0.2660,0.4412,0.5157,0.5404,0.7744,0.7415
XGBRegressor,0.2029,0.3222,0.4504,0.6654,0.8176,0.7984,0.1515,0.2901,0.3892,0.7382,0.8593,0.8528
ExtraTreesRegressor,0.1901,0.3114,0.4360,0.6864,0.8288,0.8151,0.1604,0.3018,0.4005,0.7229,0.8502,0.8448
LinearRegression,0.4558,0.4347,0.6752,0.2482,0.6214,0.7246,0.2771,0.3922,0.5264,0.5211,0.7439,0.7842
KNeighborsRegressor,0.2351,0.3466,0.4849,0.6122,0.7882,0.7620,0.1953,0.3412,0.4420,0.6625,0.8162,0.8043
SVR,0.2164,0.3490,0.4652,0.6430,0.8045,0.7934,0.1665,0.3197,0.4080,0.7124,0.8475,0.8386
MLPRegressor,0.3942,0.4486,0.6279,0.3498,0.6880,0.7211,0.2344,0.3807,0.4841,0.5950,0.7920,0.7915
