,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1923,0.3182,0.4385,0.6829,0.8265,0.8108,0.1488,0.2965,0.3857,0.7429,0.8639,0.8564
DecisionTreeRegressor,0.3512,0.4217,0.5926,0.4208,0.7110,0.6897,0.1832,0.3086,0.4280,0.6835,0.8295,0.8126
RandomForestRegressor,0.1959,0.3227,0.4426,0.6769,0.8237,0.8091,0.1531,0.3037,0.3913,0.7355,0.8600,0.8520
GradientBoostingRegressor,0.1995,0.3311,0.4466,0.6710,0.8206,0.8039,0.1553,0.3080,0.3941,0.7316,0.8591,0.8502
AdaBoostRegressor,0.2944,0.4441,0.5426,0.5144,0.7387,0.6913,0.2643,0.4372,0.5141,0.5432,0.7717,0.7526
XGBRegressor,0.1940,0.3162,0.4404,0.6801,0.8265,0.8122,0.1520,0.2924,0.3899,0.7374,0.8588,0.8524
ExtraTreesRegressor,0.1853,0.3086,0.4305,0.6944,0.8336,0.8205,0.1542,0.2963,0.3927,0.7335,0.8565,0.8514
LinearRegression,0.4323,0.4277,0.6575,0.2870,0.6403,0.7292,0.2678,0.3895,0.5175,0.5373,0.7439,0.7635
KNeighborsRegressor,0.2363,0.3455,0.4861,0.6103,0.7873,0.7615,0.1860,0.3364,0.4313,0.6786,0.8255,0.8144
SVR,0.2157,0.3494,0.4644,0.6443,0.8056,0.7956,0.1628,0.3164,0.4035,0.7186,0.8518,0.8434
MLPRegressor,0.3745,0.4454,0.6119,0.3824,0.6967,0.7306,0.2536,0.3965,0.5036,0.5618,0.7785,0.7938
