,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5551,0.6075,0.7450,0.0846,0.3457,0.2830,0.5292,0.5833,0.7275,0.0855,0.3367,0.2903
DecisionTreeRegressor,0.9865,0.7796,0.9932,-0.6269,0.2010,0.1621,0.6900,0.6469,0.8307,-0.1923,0.2226,0.2260
RandomForestRegressor,0.5353,0.6031,0.7317,0.1171,0.3664,0.2748,0.5366,0.5918,0.7325,0.0728,0.3122,0.2784
GradientBoostingRegressor,0.5248,0.5989,0.7244,0.1345,0.3794,0.2750,0.5443,0.5988,0.7377,0.0595,0.2793,0.2630
AdaBoostRegressor,0.5427,0.6396,0.7367,0.1049,0.3547,0.2670,0.5573,0.6318,0.7465,0.0371,0.2634,0.1694
XGBRegressor,0.6122,0.6331,0.7824,-0.0096,0.3118,0.2335,0.5540,0.5867,0.7443,0.0427,0.3128,0.2797
ExtraTreesRegressor,0.5456,0.6040,0.7387,0.1001,0.3674,0.2832,0.5388,0.5910,0.7340,0.0691,0.3216,0.2739
LinearRegression,0.5686,0.6350,0.7540,0.0623,0.2582,0.2127,0.5738,0.6338,0.7575,0.0085,0.1687,0.0974
KNeighborsRegressor,0.6634,0.6526,0.8145,-0.0941,0.2618,0.1836,0.6702,0.6488,0.8187,-0.1581,0.1787,0.1710
SVR,0.5545,0.6008,0.7447,0.0854,0.3433,0.2727,0.5608,0.5951,0.7489,0.0310,0.2772,0.2294
MLPRegressor,0.5714,0.6247,0.7559,0.0576,0.2988,0.2462,0.6010,0.6401,0.7752,-0.0385,0.1562,0.1063
