,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2932,0.4190,0.5415,0.5165,0.7188,0.6767,0.2350,0.3909,0.4847,0.5940,0.7743,0.7397
DecisionTreeRegressor,0.6116,0.5737,0.7820,-0.0086,0.4835,0.4533,0.2894,0.4179,0.5379,0.5000,0.7093,0.6456
RandomForestRegressor,0.3077,0.4397,0.5547,0.4926,0.7076,0.6647,0.2728,0.4290,0.5223,0.5286,0.7358,0.6952
GradientBoostingRegressor,0.3118,0.4340,0.5584,0.4858,0.6976,0.6484,0.2575,0.4124,0.5075,0.5550,0.7497,0.6950
AdaBoostRegressor,0.3995,0.5324,0.6320,0.3412,0.6173,0.5495,0.3628,0.5171,0.6023,0.3732,0.6685,0.6079
XGBRegressor,0.3150,0.4347,0.5612,0.4805,0.6949,0.6460,0.2372,0.3882,0.4870,0.5901,0.7726,0.7306
ExtraTreesRegressor,0.2913,0.4272,0.5397,0.5196,0.7262,0.6866,0.2579,0.4123,0.5079,0.5543,0.7536,0.7160
LinearRegression,0.5028,0.5554,0.7091,0.1707,0.5942,0.5826,0.3911,0.4893,0.6253,0.3243,0.6590,0.6231
KNeighborsRegressor,0.4297,0.5054,0.6555,0.2913,0.5743,0.4944,0.3552,0.4617,0.5960,0.3862,0.6384,0.5598
SVR,0.3128,0.4332,0.5593,0.4841,0.6991,0.6487,0.2880,0.4298,0.5366,0.5024,0.7092,0.6724
MLPRegressor,0.9982,0.7840,0.9991,-0.6463,0.3478,0.3410,0.7632,0.6926,0.8736,-0.3187,0.4405,0.4077
