,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0578,0.1766,0.2404,0.9047,0.9512,0.9381,0.2790,0.3946,0.5282,0.5179,0.7312,0.7090
DecisionTreeRegressor,0.1109,0.2501,0.3330,0.8172,0.9078,0.8869,0.2828,0.4026,0.5318,0.5113,0.7290,0.7069
RandomForestRegressor,0.0560,0.1744,0.2366,0.9077,0.9528,0.9392,0.2806,0.3962,0.5297,0.5151,0.7279,0.7080
GradientBoostingRegressor,0.0572,0.1769,0.2393,0.9056,0.9516,0.9379,0.2768,0.3915,0.5261,0.5218,0.7327,0.7111
AdaBoostRegressor,0.0615,0.1870,0.2480,0.8986,0.9486,0.9358,0.2741,0.3948,0.5236,0.5263,0.7306,0.7035
XGBRegressor,0.0689,0.1920,0.2626,0.8863,0.9415,0.9273,0.2788,0.4008,0.5280,0.5183,0.7296,0.7066
ExtraTreesRegressor,0.0585,0.1751,0.2420,0.9034,0.9505,0.9382,0.2769,0.3972,0.5262,0.5216,0.7315,0.7097
LinearRegression,2.2865,1.1810,1.5121,-2.7709,0.4015,0.3900,0.9441,0.7144,0.9716,-0.6313,0.4637,0.4508
KNeighborsRegressor,0.0732,0.1983,0.2705,0.8793,0.9381,0.9186,0.2687,0.3857,0.5183,0.5357,0.7436,0.7121
SVR,0.0544,0.1699,0.2333,0.9103,0.9541,0.9431,0.2753,0.3952,0.5247,0.5242,0.7345,0.7105
MLPRegressor,0.2748,0.3981,0.5242,0.5468,0.8031,0.7882,0.3291,0.4499,0.5737,0.4314,0.6869,0.6496
