,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0589,0.1839,0.2427,0.9028,0.9502,0.9364,0.2554,0.3847,0.5053,0.5587,0.7587,0.7356
DecisionTreeRegressor,0.1342,0.2783,0.3664,0.7786,0.8868,0.8709,0.2724,0.3889,0.5219,0.5294,0.7425,0.7140
RandomForestRegressor,0.0626,0.1905,0.2502,0.8967,0.9477,0.9347,0.2566,0.3820,0.5065,0.5567,0.7556,0.7319
GradientBoostingRegressor,0.0601,0.1888,0.2451,0.9009,0.9492,0.9363,0.2566,0.3810,0.5065,0.5567,0.7594,0.7379
AdaBoostRegressor,0.0675,0.2022,0.2599,0.8886,0.9447,0.9294,0.2573,0.3907,0.5072,0.5554,0.7560,0.7279
XGBRegressor,0.0689,0.2003,0.2624,0.8864,0.9415,0.9235,0.2623,0.3873,0.5122,0.5467,0.7497,0.7263
ExtraTreesRegressor,0.0590,0.1846,0.2428,0.9028,0.9508,0.9365,0.2543,0.3817,0.5043,0.5605,0.7588,0.7327
LinearRegression,1.7921,1.0047,1.3387,-1.9557,0.4150,0.4452,0.6349,0.6016,0.7968,-0.0971,0.5356,0.5542
KNeighborsRegressor,0.0840,0.2204,0.2898,0.8615,0.9285,0.9027,0.2418,0.3693,0.4917,0.5822,0.7756,0.7599
SVR,0.0519,0.1736,0.2278,0.9144,0.9569,0.9468,0.2567,0.3943,0.5067,0.5564,0.7528,0.7385
MLPRegressor,0.3791,0.4762,0.6157,0.3748,0.7561,0.7336,0.4644,0.5284,0.6815,0.1975,0.6240,0.6230
