,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1833,0.3168,0.4282,0.6976,0.8353,0.8191,0.1571,0.3007,0.3964,0.7285,0.8547,0.8441
DecisionTreeRegressor,0.3346,0.4125,0.5784,0.4482,0.7220,0.6914,0.2042,0.3365,0.4519,0.6472,0.8082,0.7976
RandomForestRegressor,0.1841,0.3133,0.4290,0.6964,0.8355,0.8209,0.1645,0.3065,0.4056,0.7158,0.8474,0.8403
GradientBoostingRegressor,0.1992,0.3353,0.4463,0.6715,0.8215,0.8092,0.1653,0.3209,0.4065,0.7145,0.8504,0.8347
AdaBoostRegressor,0.3064,0.4567,0.5535,0.4947,0.7316,0.6954,0.2902,0.4568,0.5387,0.4986,0.7476,0.7225
XGBRegressor,0.1982,0.3245,0.4452,0.6731,0.8240,0.8087,0.1555,0.2847,0.3944,0.7313,0.8555,0.8467
ExtraTreesRegressor,0.2136,0.3313,0.4621,0.6478,0.8079,0.7940,0.1802,0.3054,0.4245,0.6886,0.8302,0.8225
LinearRegression,2.0560,1.0115,1.4339,-2.3908,0.3768,0.4478,0.7796,0.6407,0.8830,-0.3472,0.5680,0.5893
KNeighborsRegressor,0.2341,0.3539,0.4838,0.6139,0.7917,0.7737,0.2004,0.3390,0.4477,0.6537,0.8103,0.7897
SVR,0.2068,0.3443,0.4548,0.6589,0.8159,0.8084,0.1809,0.3289,0.4253,0.6874,0.8334,0.8095
MLPRegressor,1.7916,1.0590,1.3385,-1.9547,0.3744,0.4052,0.7716,0.6832,0.8784,-0.3333,0.4965,0.5115
