,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1833,0.3168,0.4282,0.6976,0.8353,0.8191,0.1571,0.3007,0.3964,0.7285,0.8547,0.8441
DecisionTreeRegressor,0.3453,0.4214,0.5876,0.4305,0.7140,0.6825,0.2060,0.3362,0.4538,0.6441,0.8068,0.7966
RandomForestRegressor,0.1848,0.3137,0.4299,0.6953,0.8348,0.8206,0.1652,0.3069,0.4064,0.7146,0.8467,0.8393
GradientBoostingRegressor,0.1980,0.3348,0.4450,0.6734,0.8226,0.8101,0.1650,0.3199,0.4062,0.7149,0.8506,0.8345
AdaBoostRegressor,0.3152,0.4652,0.5614,0.4802,0.7195,0.6754,0.2923,0.4598,0.5407,0.4949,0.7413,0.7108
XGBRegressor,0.1982,0.3245,0.4452,0.6731,0.8240,0.8087,0.1555,0.2847,0.3944,0.7313,0.8555,0.8467
ExtraTreesRegressor,0.2130,0.3319,0.4615,0.6488,0.8086,0.7962,0.1802,0.3043,0.4244,0.6887,0.8303,0.8240
LinearRegression,2.0560,1.0115,1.4339,-2.3908,0.3768,0.4478,0.7796,0.6407,0.8830,-0.3472,0.5680,0.5893
KNeighborsRegressor,0.2341,0.3539,0.4838,0.6139,0.7917,0.7737,0.2004,0.3390,0.4477,0.6537,0.8103,0.7897
SVR,0.2068,0.3443,0.4548,0.6589,0.8159,0.8084,0.1809,0.3289,0.4254,0.6874,0.8334,0.8094
MLPRegressor,1.0950,0.7500,1.0464,-0.8060,0.5132,0.5502,0.5344,0.5217,0.7310,0.0766,0.6122,0.6330
