,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2271,0.3596,0.4766,0.6254,0.7909,0.7660,0.1876,0.3411,0.4332,0.6758,0.8228,0.8073
DecisionTreeRegressor,0.4193,0.4626,0.6476,0.3084,0.6572,0.6254,0.2194,0.3568,0.4684,0.6209,0.7919,0.7707
RandomForestRegressor,0.2295,0.3605,0.4791,0.6214,0.7885,0.7642,0.2114,0.3572,0.4597,0.6348,0.7971,0.7840
GradientBoostingRegressor,0.2384,0.3755,0.4883,0.6067,0.7818,0.7577,0.2112,0.3618,0.4596,0.6350,0.8020,0.7832
AdaBoostRegressor,0.3806,0.5237,0.6169,0.3723,0.6352,0.6266,0.3568,0.5140,0.5973,0.3836,0.6627,0.6505
XGBRegressor,0.2432,0.3620,0.4932,0.5989,0.7788,0.7508,0.1991,0.3368,0.4462,0.6559,0.8103,0.8004
ExtraTreesRegressor,0.2105,0.3363,0.4588,0.6528,0.8083,0.7892,0.1906,0.3320,0.4366,0.6706,0.8190,0.8062
LinearRegression,0.4069,0.4678,0.6379,0.3288,0.6272,0.6554,0.3021,0.4396,0.5496,0.4781,0.6989,0.6632
KNeighborsRegressor,0.2988,0.4014,0.5467,0.5071,0.7264,0.6973,0.2498,0.3884,0.4998,0.5684,0.7597,0.7308
SVR,0.3347,0.4373,0.5785,0.4481,0.6767,0.6255,0.2868,0.4216,0.5355,0.5045,0.7214,0.6783
MLPRegressor,0.4993,0.5379,0.7066,0.1765,0.5375,0.5844,0.4552,0.5018,0.6747,0.2134,0.5896,0.6565
