,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4817,0.5754,0.6940,0.2056,0.4543,0.3396,0.4232,0.5355,0.6505,0.2687,0.5241,0.4635
DecisionTreeRegressor,0.4550,0.5444,0.6746,0.2496,0.5042,0.3995,0.3955,0.5024,0.6289,0.3166,0.5637,0.4960
RandomForestRegressor,0.4522,0.5435,0.6725,0.2542,0.5062,0.3968,0.3926,0.5007,0.6266,0.3216,0.5671,0.4927
GradientBoostingRegressor,0.4489,0.5454,0.6700,0.2596,0.5096,0.3926,0.3952,0.5094,0.6286,0.3171,0.5650,0.5023
AdaBoostRegressor,0.5126,0.6075,0.7160,0.1546,0.4005,0.2491,0.4643,0.5813,0.6814,0.1978,0.4608,0.4130
XGBRegressor,0.4593,0.5464,0.6777,0.2425,0.4978,0.3915,0.3931,0.4996,0.6270,0.3207,0.5673,0.4966
ExtraTreesRegressor,0.4590,0.5469,0.6775,0.2429,0.4983,0.3936,0.3959,0.5025,0.6292,0.3159,0.5630,0.4960
LinearRegression,0.4667,0.5552,0.6832,0.2303,0.4854,0.3660,0.4229,0.5247,0.6503,0.2692,0.5277,0.4665
KNeighborsRegressor,0.5185,0.5765,0.7201,0.1448,0.4430,0.3531,0.4164,0.5141,0.6453,0.2805,0.5415,0.4823
SVR,0.4570,0.5476,0.6761,0.2462,0.4984,0.3997,0.4086,0.5077,0.6392,0.2940,0.5444,0.4929
MLPRegressor,0.5374,0.5960,0.7331,0.1137,0.4169,0.3821,0.4320,0.5272,0.6572,0.2536,0.5144,0.4935
