,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1929,0.3252,0.4392,0.6819,0.8260,0.8150,0.1649,0.3124,0.4060,0.7151,0.8465,0.8341
DecisionTreeRegressor,0.3440,0.4212,0.5865,0.4327,0.7199,0.6993,0.2170,0.3363,0.4659,0.6250,0.7963,0.7787
RandomForestRegressor,0.1817,0.3122,0.4263,0.7003,0.8380,0.8215,0.1726,0.3145,0.4155,0.7017,0.8386,0.8306
GradientBoostingRegressor,0.2059,0.3422,0.4538,0.6603,0.8171,0.8038,0.1790,0.3392,0.4230,0.6908,0.8393,0.8253
AdaBoostRegressor,0.3554,0.4990,0.5961,0.4139,0.6897,0.6210,0.3226,0.4845,0.5680,0.4426,0.7487,0.7383
XGBRegressor,0.1911,0.3191,0.4371,0.6849,0.8299,0.8145,0.1621,0.2975,0.4026,0.7200,0.8485,0.8443
ExtraTreesRegressor,0.1997,0.3199,0.4469,0.6706,0.8207,0.8111,0.1826,0.3087,0.4273,0.6845,0.8277,0.8215
LinearRegression,0.2579,0.3787,0.5078,0.5747,0.7710,0.7719,0.2318,0.3699,0.4815,0.5994,0.7835,0.7827
KNeighborsRegressor,0.2430,0.3561,0.4930,0.5992,0.7800,0.7609,0.2350,0.3622,0.4848,0.5939,0.7766,0.7541
SVR,0.2129,0.3463,0.4614,0.6489,0.8086,0.8016,0.1918,0.3356,0.4379,0.6686,0.8214,0.8079
MLPRegressor,0.8426,0.6241,0.9180,-0.3897,0.5760,0.6305,0.6301,0.5449,0.7938,-0.0889,0.6492,0.6804
