,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5095,0.5764,0.7138,0.1598,0.4014,0.3745,0.4333,0.5332,0.6583,0.2513,0.5040,0.4763
DecisionTreeRegressor,0.4988,0.5575,0.7063,0.1774,0.4399,0.4303,0.3734,0.4961,0.6110,0.3548,0.5967,0.5685
RandomForestRegressor,0.4796,0.5536,0.6925,0.2090,0.4626,0.4319,0.3734,0.4954,0.6111,0.3548,0.5970,0.5715
GradientBoostingRegressor,0.4793,0.5605,0.6923,0.2095,0.4579,0.4389,0.3890,0.5122,0.6237,0.3279,0.5806,0.5706
AdaBoostRegressor,0.5325,0.6188,0.7298,0.1217,0.3635,0.3477,0.4705,0.5833,0.6859,0.1870,0.4789,0.4605
XGBRegressor,0.4899,0.5563,0.7000,0.1920,0.4514,0.4331,0.3736,0.4966,0.6112,0.3545,0.5961,0.5711
ExtraTreesRegressor,0.4988,0.5575,0.7063,0.1774,0.4399,0.4303,0.3733,0.4961,0.6110,0.3549,0.5968,0.5685
LinearRegression,0.5077,0.5859,0.7126,0.1626,0.4059,0.3703,0.4512,0.5537,0.6717,0.2203,0.4697,0.4265
KNeighborsRegressor,0.5735,0.6044,0.7573,0.0541,0.3662,0.3020,0.4080,0.5297,0.6387,0.2951,0.5556,0.5242
SVR,0.4904,0.5364,0.7003,0.1913,0.4661,0.4416,0.3839,0.4852,0.6196,0.3366,0.5823,0.5613
MLPRegressor,0.5344,0.5769,0.7311,0.1186,0.4023,0.4181,0.3863,0.5037,0.6215,0.3325,0.5785,0.5607
