,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2652,0.3970,0.5150,0.5626,0.7506,0.7326,0.2446,0.3935,0.4946,0.5773,0.7630,0.7375
DecisionTreeRegressor,0.4233,0.4664,0.6506,0.3019,0.6491,0.6343,0.2600,0.3806,0.5099,0.5507,0.7465,0.7227
RandomForestRegressor,0.2656,0.3815,0.5154,0.5619,0.7505,0.7327,0.2309,0.3787,0.4805,0.6010,0.7764,0.7530
GradientBoostingRegressor,0.2997,0.4343,0.5474,0.5058,0.7159,0.6985,0.2563,0.4160,0.5063,0.5571,0.7590,0.7410
AdaBoostRegressor,0.4683,0.5906,0.6843,0.2276,0.5047,0.4482,0.4408,0.5750,0.6639,0.2384,0.5404,0.5457
XGBRegressor,0.2794,0.3952,0.5286,0.5391,0.7460,0.7378,0.2421,0.3849,0.4921,0.5816,0.7630,0.7419
ExtraTreesRegressor,0.3966,0.4562,0.6298,0.3458,0.6635,0.6484,0.2605,0.3809,0.5104,0.5499,0.7457,0.7226
LinearRegression,0.5962,0.5340,0.7721,0.0168,0.5331,0.6085,0.3435,0.4521,0.5861,0.4065,0.6636,0.6657
KNeighborsRegressor,0.3373,0.4258,0.5807,0.4438,0.6846,0.6661,0.2775,0.4055,0.5268,0.5205,0.7266,0.6933
SVR,0.2975,0.4147,0.5455,0.5093,0.7158,0.6956,0.2576,0.4021,0.5075,0.5549,0.7508,0.7158
MLPRegressor,0.5758,0.5504,0.7588,0.0504,0.5382,0.5876,0.4866,0.4859,0.6975,0.1593,0.5348,0.6063
