,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2846,0.4083,0.5334,0.5307,0.7285,0.7112,0.2623,0.4010,0.5122,0.5467,0.7408,0.7202
DecisionTreeRegressor,0.4150,0.4628,0.6442,0.3155,0.6440,0.6227,0.3179,0.4230,0.5638,0.4508,0.6876,0.6541
RandomForestRegressor,0.2946,0.4046,0.5428,0.5141,0.7186,0.6982,0.2642,0.3972,0.5140,0.5435,0.7379,0.7120
GradientBoostingRegressor,0.3096,0.4421,0.5565,0.4893,0.7020,0.6830,0.2752,0.4282,0.5246,0.5245,0.7336,0.7074
AdaBoostRegressor,0.4550,0.5764,0.6745,0.2496,0.5138,0.4588,0.4238,0.5608,0.6510,0.2676,0.5533,0.5323
XGBRegressor,0.2921,0.4028,0.5404,0.5183,0.7316,0.7200,0.2656,0.3883,0.5154,0.5411,0.7364,0.7145
ExtraTreesRegressor,0.3994,0.4577,0.6320,0.3412,0.6502,0.6270,0.3172,0.4224,0.5632,0.4518,0.6860,0.6526
LinearRegression,0.5522,0.5207,0.7431,0.0893,0.5418,0.6005,0.3793,0.4604,0.6159,0.3446,0.6385,0.6605
KNeighborsRegressor,0.3766,0.4436,0.6137,0.3789,0.6509,0.6189,0.3210,0.4204,0.5666,0.4453,0.6804,0.6495
SVR,0.2935,0.4149,0.5418,0.5159,0.7210,0.7001,0.2605,0.4039,0.5104,0.5498,0.7469,0.7092
MLPRegressor,0.5273,0.5351,0.7261,0.1304,0.5828,0.6287,0.4229,0.4739,0.6503,0.2692,0.6062,0.6508
