,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3412,0.4549,0.5841,0.4373,0.6613,0.6351,0.2813,0.4265,0.5304,0.5139,0.7204,0.6893
DecisionTreeRegressor,0.4174,0.4685,0.6461,0.3116,0.6183,0.6033,0.3223,0.4342,0.5677,0.4430,0.6760,0.6421
RandomForestRegressor,0.3331,0.4352,0.5772,0.4506,0.6759,0.6441,0.2953,0.4258,0.5435,0.4897,0.7006,0.6672
GradientBoostingRegressor,0.3440,0.4669,0.5865,0.4327,0.6589,0.6213,0.2940,0.4452,0.5422,0.4919,0.7073,0.6770
AdaBoostRegressor,0.4696,0.5882,0.6853,0.2256,0.4851,0.4093,0.4259,0.5670,0.6526,0.2641,0.5439,0.5734
XGBRegressor,0.3537,0.4484,0.5947,0.4166,0.6649,0.6386,0.2981,0.4186,0.5460,0.4850,0.7020,0.6794
ExtraTreesRegressor,0.4049,0.4662,0.6364,0.3321,0.6256,0.6095,0.3188,0.4330,0.5647,0.4491,0.6795,0.6446
LinearRegression,0.4256,0.4959,0.6524,0.2981,0.5980,0.6023,0.3351,0.4480,0.5788,0.4210,0.6692,0.6872
KNeighborsRegressor,0.4307,0.4823,0.6563,0.2897,0.5875,0.5647,0.3414,0.4431,0.5843,0.4101,0.6520,0.6238
SVR,0.3430,0.4510,0.5856,0.4344,0.6591,0.6192,0.3064,0.4349,0.5536,0.4705,0.6859,0.6498
MLPRegressor,0.5159,0.5410,0.7183,0.1491,0.5474,0.5864,0.3950,0.4848,0.6285,0.3174,0.6046,0.6186
