,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2091,0.3398,0.4573,0.6551,0.8095,0.7918,0.1750,0.3158,0.4183,0.6977,0.8359,0.8227
DecisionTreeRegressor,0.3518,0.4294,0.5931,0.4199,0.7033,0.6820,0.2145,0.3385,0.4632,0.6293,0.7969,0.7864
RandomForestRegressor,0.2059,0.3321,0.4537,0.6604,0.8131,0.7987,0.1837,0.3202,0.4286,0.6826,0.8270,0.8147
GradientBoostingRegressor,0.2139,0.3506,0.4625,0.6472,0.8074,0.7908,0.1901,0.3474,0.4360,0.6715,0.8251,0.8021
AdaBoostRegressor,0.3666,0.5153,0.6055,0.3954,0.6567,0.5862,0.3328,0.4924,0.5769,0.4249,0.6984,0.6551
XGBRegressor,0.2137,0.3339,0.4623,0.6475,0.8093,0.8026,0.1799,0.3065,0.4241,0.6892,0.8306,0.8212
ExtraTreesRegressor,0.2023,0.3275,0.4497,0.6664,0.8175,0.8083,0.1907,0.3172,0.4367,0.6705,0.8192,0.8118
LinearRegression,0.3019,0.3989,0.5495,0.5021,0.7355,0.7580,0.2803,0.3776,0.5295,0.5156,0.7438,0.7882
KNeighborsRegressor,0.2408,0.3533,0.4907,0.6028,0.7806,0.7584,0.2618,0.3798,0.5116,0.5477,0.7503,0.7313
SVR,0.2178,0.3460,0.4667,0.6408,0.8024,0.7893,0.1888,0.3295,0.4345,0.6738,0.8225,0.7929
MLPRegressor,0.5505,0.5133,0.7419,0.0921,0.6192,0.6836,0.3191,0.4181,0.5649,0.4486,0.7487,0.7572
