,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2603,0.3917,0.5102,0.5708,0.7556,0.7367,0.2261,0.3740,0.4755,0.6094,0.7821,0.7610
DecisionTreeRegressor,0.3944,0.4512,0.6280,0.3496,0.6744,0.6534,0.2416,0.3713,0.4915,0.5825,0.7696,0.7426
RandomForestRegressor,0.2429,0.3675,0.4929,0.5994,0.7743,0.7606,0.2188,0.3606,0.4678,0.6219,0.7895,0.7698
GradientBoostingRegressor,0.2610,0.3960,0.5109,0.5695,0.7570,0.7364,0.2300,0.3860,0.4795,0.6026,0.7799,0.7532
AdaBoostRegressor,0.3828,0.5184,0.6187,0.3687,0.6338,0.5838,0.3587,0.5089,0.5989,0.3802,0.6526,0.6087
XGBRegressor,0.2413,0.3695,0.4912,0.6020,0.7801,0.7695,0.2118,0.3512,0.4602,0.6340,0.7973,0.7786
ExtraTreesRegressor,0.3581,0.4311,0.5984,0.4095,0.6954,0.6698,0.2478,0.3736,0.4978,0.5718,0.7644,0.7411
LinearRegression,0.3739,0.4493,0.6115,0.3833,0.6816,0.7081,0.2229,0.3706,0.4721,0.6149,0.7877,0.7711
KNeighborsRegressor,0.2769,0.3835,0.5262,0.5434,0.7437,0.7234,0.2636,0.3930,0.5134,0.5446,0.7475,0.7259
SVR,0.2575,0.3875,0.5074,0.5754,0.7597,0.7487,0.2098,0.3600,0.4580,0.6375,0.7999,0.7697
MLPRegressor,0.5196,0.5037,0.7208,0.1430,0.6401,0.6811,0.4745,0.4788,0.6889,0.1801,0.6467,0.6992
