,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3095,0.4374,0.5563,0.4895,0.6998,0.6525,0.2694,0.4136,0.5190,0.5345,0.7348,0.7036
DecisionTreeRegressor,0.3729,0.4589,0.6106,0.3850,0.6541,0.6240,0.2633,0.3970,0.5132,0.5449,0.7435,0.7120
RandomForestRegressor,0.3002,0.4240,0.5479,0.5049,0.7126,0.6764,0.2460,0.3892,0.4960,0.5748,0.7589,0.7308
GradientBoostingRegressor,0.3260,0.4581,0.5709,0.4624,0.6826,0.6414,0.2714,0.4299,0.5209,0.5311,0.7374,0.7039
AdaBoostRegressor,0.4440,0.5702,0.6663,0.2677,0.5250,0.4726,0.4121,0.5576,0.6420,0.2879,0.5633,0.5483
XGBRegressor,0.2898,0.4143,0.5383,0.5220,0.7273,0.6922,0.2585,0.3985,0.5084,0.5534,0.7483,0.7212
ExtraTreesRegressor,0.3469,0.4457,0.5890,0.4279,0.6756,0.6411,0.2619,0.3958,0.5118,0.5474,0.7447,0.7092
LinearRegression,0.3659,0.4826,0.6049,0.3965,0.6365,0.5960,0.2913,0.4370,0.5397,0.4967,0.7068,0.6865
KNeighborsRegressor,0.3527,0.4449,0.5939,0.4183,0.6689,0.6313,0.2952,0.4224,0.5433,0.4899,0.7122,0.6820
SVR,0.3137,0.4310,0.5601,0.4825,0.6951,0.6575,0.2464,0.3879,0.4964,0.5742,0.7589,0.7319
MLPRegressor,0.4408,0.5007,0.6639,0.2730,0.6065,0.6092,0.3504,0.4576,0.5920,0.3945,0.6760,0.6815
