,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2325,0.3603,0.4822,0.6165,0.7855,0.7664,0.2044,0.3511,0.4521,0.6468,0.8064,0.7918
DecisionTreeRegressor,0.3886,0.4406,0.6234,0.3591,0.6731,0.6543,0.2334,0.3564,0.4831,0.5967,0.7801,0.7738
RandomForestRegressor,0.2205,0.3440,0.4696,0.6363,0.7982,0.7835,0.1994,0.3381,0.4465,0.6555,0.8113,0.8013
GradientBoostingRegressor,0.2530,0.3865,0.5030,0.5828,0.7669,0.7500,0.2121,0.3705,0.4605,0.6335,0.8056,0.7814
AdaBoostRegressor,0.3950,0.5266,0.6285,0.3485,0.6235,0.5657,0.3541,0.5062,0.5951,0.3881,0.6975,0.6885
XGBRegressor,0.2230,0.3429,0.4723,0.6322,0.7989,0.7871,0.1920,0.3296,0.4382,0.6682,0.8177,0.8001
ExtraTreesRegressor,0.3601,0.4260,0.6001,0.4061,0.6910,0.6729,0.2354,0.3590,0.4852,0.5933,0.7780,0.7725
LinearRegression,0.3337,0.4314,0.5776,0.4497,0.7324,0.7463,0.3333,0.4334,0.5773,0.4240,0.7152,0.7344
KNeighborsRegressor,0.2748,0.3791,0.5242,0.5469,0.7513,0.7338,0.2310,0.3606,0.4807,0.6008,0.7814,0.7486
SVR,0.2356,0.3672,0.4854,0.6114,0.7851,0.7830,0.2047,0.3538,0.4525,0.6462,0.8068,0.7889
MLPRegressor,0.8800,0.6566,0.9381,-0.4513,0.5452,0.5983,0.6477,0.5538,0.8048,-0.1193,0.6286,0.6654
