,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3327,0.4492,0.5768,0.4512,0.6718,0.6197,0.2812,0.4209,0.5303,0.5141,0.7202,0.7008
DecisionTreeRegressor,0.3257,0.4319,0.5707,0.4628,0.6951,0.6547,0.2810,0.4016,0.5301,0.5145,0.7202,0.7042
RandomForestRegressor,0.2914,0.4093,0.5399,0.5193,0.7217,0.6793,0.2720,0.4010,0.5216,0.5299,0.7281,0.7064
GradientBoostingRegressor,0.3276,0.4570,0.5724,0.4597,0.6813,0.6379,0.2829,0.4327,0.5319,0.5112,0.7232,0.6909
AdaBoostRegressor,0.4622,0.5834,0.6799,0.2377,0.4973,0.4583,0.4269,0.5655,0.6533,0.2624,0.5384,0.5688
XGBRegressor,0.2898,0.4102,0.5384,0.5220,0.7263,0.6914,0.2664,0.3975,0.5162,0.5396,0.7359,0.7105
ExtraTreesRegressor,0.3100,0.4217,0.5567,0.4888,0.7087,0.6677,0.2821,0.4021,0.5311,0.5126,0.7189,0.7000
LinearRegression,0.3692,0.4807,0.6076,0.3911,0.6364,0.6085,0.3285,0.4666,0.5732,0.4323,0.6648,0.6474
KNeighborsRegressor,0.3693,0.4558,0.6077,0.3910,0.6508,0.6050,0.3266,0.4336,0.5715,0.4356,0.6728,0.6332
SVR,0.3210,0.4341,0.5666,0.4706,0.6864,0.6438,0.2692,0.4035,0.5188,0.5349,0.7327,0.6976
MLPRegressor,0.4611,0.5051,0.6791,0.2395,0.5796,0.5954,0.3630,0.4609,0.6025,0.3727,0.6475,0.6442
