,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2234,0.3553,0.4726,0.6316,0.7948,0.7778,0.1856,0.3321,0.4308,0.6793,0.8248,0.8074
DecisionTreeRegressor,0.3176,0.4095,0.5635,0.4763,0.7308,0.7109,0.2118,0.3421,0.4602,0.6341,0.8012,0.7845
RandomForestRegressor,0.2135,0.3457,0.4621,0.6479,0.8054,0.7865,0.1830,0.3257,0.4278,0.6838,0.8270,0.8120
GradientBoostingRegressor,0.2428,0.3815,0.4928,0.5996,0.7767,0.7563,0.2052,0.3617,0.4530,0.6454,0.8094,0.7881
AdaBoostRegressor,0.4096,0.5494,0.6400,0.3245,0.5931,0.5853,0.3992,0.5444,0.6318,0.3101,0.5875,0.5880
XGBRegressor,0.2157,0.3420,0.4644,0.6443,0.8072,0.7868,0.1858,0.3141,0.4311,0.6789,0.8252,0.8102
ExtraTreesRegressor,0.2074,0.3346,0.4555,0.6579,0.8145,0.7912,0.1932,0.3281,0.4395,0.6662,0.8184,0.8052
LinearRegression,0.3028,0.4137,0.5503,0.5006,0.7101,0.7117,0.2826,0.4318,0.5316,0.5116,0.7169,0.6728
KNeighborsRegressor,0.2661,0.3772,0.5159,0.5611,0.7572,0.7307,0.2163,0.3523,0.4651,0.6262,0.7942,0.7755
SVR,0.3323,0.4340,0.5765,0.4520,0.6764,0.6580,0.2523,0.3922,0.5023,0.5641,0.7609,0.7386
MLPRegressor,0.4702,0.5018,0.6857,0.2246,0.5691,0.6398,0.2825,0.4180,0.5315,0.5119,0.7241,0.7525
