,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4684,0.5421,0.6844,0.2275,0.4771,0.4532,0.3950,0.5016,0.6285,0.3174,0.5668,0.5559
DecisionTreeRegressor,0.4464,0.5175,0.6681,0.2638,0.5225,0.4954,0.3803,0.4860,0.6166,0.3429,0.5888,0.5836
RandomForestRegressor,0.4407,0.5162,0.6638,0.2732,0.5263,0.4975,0.3690,0.4776,0.6074,0.3624,0.6027,0.5966
GradientBoostingRegressor,0.4441,0.5380,0.6664,0.2676,0.5179,0.4882,0.3923,0.5076,0.6263,0.3221,0.5704,0.5769
AdaBoostRegressor,0.5237,0.6071,0.7237,0.1363,0.3758,0.3686,0.4488,0.5702,0.6700,0.2244,0.5174,0.4920
XGBRegressor,0.4341,0.5140,0.6588,0.2841,0.5382,0.5100,0.3702,0.4794,0.6084,0.3603,0.6022,0.5972
ExtraTreesRegressor,0.4468,0.5174,0.6684,0.2631,0.5220,0.4945,0.3804,0.4862,0.6167,0.3428,0.5887,0.5835
LinearRegression,0.4622,0.5562,0.6799,0.2377,0.4898,0.4602,0.4285,0.5345,0.6546,0.2596,0.5120,0.5027
KNeighborsRegressor,0.4554,0.5398,0.6748,0.2489,0.5121,0.4820,0.3922,0.4994,0.6262,0.3224,0.5741,0.5741
SVR,0.4384,0.5035,0.6622,0.2769,0.5335,0.5064,0.3884,0.4820,0.6232,0.3289,0.5796,0.5888
MLPRegressor,0.4974,0.5470,0.7053,0.1796,0.4746,0.4937,0.4259,0.5136,0.6526,0.2641,0.5343,0.5683
