,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3795,0.4610,0.6160,0.3741,0.6378,0.6088,0.2760,0.4181,0.5253,0.5231,0.7260,0.6962
LGBMRegressor,0.3627,0.4635,0.6022,0.4018,0.6365,0.5952,0.2633,0.4153,0.5131,0.5451,0.7435,0.7114
XGBRegressor,0.3874,0.4678,0.6225,0.3610,0.6317,0.5924,0.2689,0.4182,0.5186,0.5353,0.7334,0.6978
DecisionTreeRegressor,0.4265,0.4804,0.6531,0.2966,0.6046,0.5701,0.2855,0.4229,0.5343,0.5067,0.7175,0.6818
RandomForestRegressor,0.3557,0.4544,0.5964,0.4134,0.6521,0.6087,0.2591,0.4082,0.5091,0.5522,0.7445,0.7129
GradientBoostingRegressor,0.3533,0.4691,0.5944,0.4173,0.6462,0.6019,0.3086,0.4474,0.5555,0.4667,0.6890,0.6443
AdaBoostRegressor,0.4527,0.5791,0.6728,0.2534,0.5224,0.4840,0.4357,0.5670,0.6601,0.2472,0.5479,0.5354
SVR,0.4098,0.4901,0.6402,0.3241,0.5810,0.5289,0.3449,0.4592,0.5873,0.4040,0.6380,0.5681
LinearRegression,0.5336,0.6108,0.7305,0.1200,0.3467,0.3232,0.5008,0.6011,0.7077,0.1347,0.3681,0.2939
KNeighborsRegressor,0.4591,0.5104,0.6776,0.2428,0.5576,0.5202,0.3419,0.4597,0.5847,0.4093,0.6496,0.6162
MLPRegressor,0.5693,0.6037,0.7545,0.0610,0.3526,0.2937,0.4930,0.5740,0.7022,0.1481,0.4266,0.3301
