,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2524,0.3742,0.5024,0.5836,0.7694,0.7363,0.2231,0.3632,0.4724,0.6144,0.7862,0.7759
LGBMRegressor,0.2861,0.4054,0.5349,0.5282,0.7268,0.6937,0.2352,0.3878,0.4849,0.5936,0.7731,0.7510
XGBRegressor,0.2569,0.3782,0.5068,0.5763,0.7651,0.7324,0.2558,0.3847,0.5058,0.5579,0.7556,0.7496
DecisionTreeRegressor,0.3641,0.4348,0.6034,0.3996,0.6864,0.6532,0.2688,0.3955,0.5185,0.5355,0.7451,0.7405
RandomForestRegressor,0.2422,0.3704,0.4921,0.6006,0.7753,0.7426,0.2265,0.3693,0.4759,0.6086,0.7807,0.7685
GradientBoostingRegressor,0.2812,0.4158,0.5303,0.5362,0.7342,0.7015,0.2448,0.3987,0.4948,0.5769,0.7666,0.7568
AdaBoostRegressor,0.4114,0.5445,0.6414,0.3214,0.5892,0.5724,0.3800,0.5237,0.6164,0.3434,0.6462,0.6411
SVR,0.3073,0.4267,0.5544,0.4931,0.7035,0.6704,0.2637,0.4106,0.5135,0.5443,0.7401,0.7121
LinearRegression,0.4591,0.5552,0.6776,0.2428,0.4941,0.4741,0.4090,0.5202,0.6395,0.2932,0.5423,0.5023
KNeighborsRegressor,0.3107,0.4177,0.5574,0.4875,0.7082,0.6622,0.3182,0.4361,0.5641,0.4501,0.6805,0.6571
MLPRegressor,0.6437,0.6282,0.8023,-0.0617,0.4273,0.3915,0.6201,0.6110,0.7874,-0.0714,0.4678,0.4445
