,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2546,0.3759,0.5046,0.5801,0.7675,0.7337,0.2211,0.3621,0.4702,0.6179,0.7883,0.7791
LGBMRegressor,0.2861,0.4054,0.5349,0.5282,0.7268,0.6937,0.2352,0.3878,0.4849,0.5936,0.7731,0.7510
XGBRegressor,0.2569,0.3782,0.5068,0.5763,0.7651,0.7324,0.2558,0.3847,0.5058,0.5579,0.7556,0.7496
DecisionTreeRegressor,0.3523,0.4294,0.5935,0.4190,0.6970,0.6605,0.2698,0.3927,0.5194,0.5338,0.7446,0.7406
RandomForestRegressor,0.2404,0.3691,0.4903,0.6035,0.7771,0.7453,0.2264,0.3701,0.4758,0.6088,0.7808,0.7667
GradientBoostingRegressor,0.2810,0.4158,0.5301,0.5366,0.7345,0.7018,0.2445,0.3983,0.4945,0.5775,0.7669,0.7574
AdaBoostRegressor,0.4090,0.5413,0.6395,0.3255,0.5861,0.5650,0.3797,0.5247,0.6162,0.3439,0.6339,0.6401
SVR,0.3073,0.4267,0.5544,0.4931,0.7035,0.6704,0.2637,0.4106,0.5135,0.5443,0.7401,0.7120
LinearRegression,0.4591,0.5552,0.6776,0.2428,0.4941,0.4741,0.4090,0.5202,0.6395,0.2932,0.5423,0.5023
KNeighborsRegressor,0.3116,0.4185,0.5582,0.4862,0.7073,0.6614,0.3177,0.4353,0.5637,0.4510,0.6811,0.6587
MLPRegressor,0.5926,0.5985,0.7698,0.0227,0.4620,0.4396,0.5728,0.5888,0.7568,0.0103,0.4960,0.4613
