,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4317,0.4966,0.6570,0.2880,0.5730,0.5385,0.3925,0.4807,0.6265,0.3218,0.5897,0.5300
LGBMRegressor,0.4232,0.4999,0.6505,0.3020,0.5533,0.5078,0.4163,0.5060,0.6452,0.2807,0.5355,0.4910
XGBRegressor,0.4463,0.5064,0.6681,0.2639,0.5610,0.5302,0.3917,0.4849,0.6259,0.3232,0.5912,0.5393
DecisionTreeRegressor,0.5133,0.5274,0.7164,0.1535,0.5157,0.4998,0.4182,0.4966,0.6467,0.2774,0.5631,0.5061
RandomForestRegressor,0.4170,0.4901,0.6458,0.3123,0.5768,0.5406,0.4032,0.4951,0.6350,0.3032,0.5656,0.5172
GradientBoostingRegressor,0.4146,0.5062,0.6439,0.3162,0.5629,0.5084,0.3949,0.5050,0.6284,0.3177,0.5719,0.5235
AdaBoostRegressor,0.4807,0.5815,0.6933,0.2072,0.4629,0.4087,0.4813,0.5819,0.6938,0.1684,0.4676,0.4281
SVR,0.4358,0.5036,0.6602,0.2813,0.5438,0.4869,0.4816,0.5343,0.6940,0.1678,0.4304,0.3900
LinearRegression,0.5819,0.6336,0.7628,0.0403,0.2051,0.1922,0.5505,0.6174,0.7420,0.0488,0.2223,0.1993
KNeighborsRegressor,0.4997,0.5408,0.7069,0.1759,0.4815,0.4386,0.4590,0.5265,0.6775,0.2068,0.4841,0.4436
MLPRegressor,0.6512,0.6511,0.8070,-0.0741,0.1979,0.1512,0.6741,0.6509,0.8210,-0.1648,0.1257,0.0669
