,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2215,0.3350,0.4706,0.6347,0.8001,0.7880,0.2429,0.3622,0.4928,0.5803,0.7640,0.7592
LGBMRegressor,0.2849,0.3987,0.5338,0.5301,0.7283,0.7143,0.2618,0.3885,0.5116,0.5477,0.7426,0.7490
XGBRegressor,0.2137,0.3395,0.4623,0.6475,0.8066,0.7879,0.2203,0.3521,0.4693,0.6194,0.7883,0.7754
DecisionTreeRegressor,0.3266,0.4077,0.5715,0.4613,0.7274,0.7086,0.2963,0.3872,0.5443,0.4881,0.7144,0.7161
RandomForestRegressor,0.2285,0.3415,0.4780,0.6231,0.7905,0.7794,0.2490,0.3676,0.4990,0.5697,0.7556,0.7524
GradientBoostingRegressor,0.2621,0.3870,0.5119,0.5678,0.7601,0.7452,0.2645,0.3962,0.5143,0.5429,0.7484,0.7293
AdaBoostRegressor,0.4263,0.5488,0.6529,0.2969,0.6020,0.5735,0.4100,0.5346,0.6403,0.2916,0.6453,0.6157
SVR,0.2419,0.3640,0.4918,0.6010,0.7790,0.7836,0.3011,0.3910,0.5487,0.4797,0.6952,0.7277
LinearRegression,0.3214,0.4081,0.5670,0.4699,0.7074,0.7154,0.2562,0.3828,0.5062,0.5573,0.7520,0.7371
KNeighborsRegressor,0.4284,0.4346,0.6545,0.2934,0.5819,0.6045,0.3520,0.4043,0.5933,0.3918,0.6424,0.6544
MLPRegressor,0.2977,0.4257,0.5456,0.5090,0.7199,0.7164,0.2832,0.4271,0.5322,0.5106,0.7262,0.7151
