,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.2194,0.3335,0.4684,0.6382,0.8021,0.7887,0.2430,0.3617,0.4929,0.5801,0.7639,0.7597
LGBMRegressor,0.2849,0.3987,0.5338,0.5301,0.7283,0.7143,0.2618,0.3885,0.5116,0.5477,0.7426,0.7490
XGBRegressor,0.2137,0.3395,0.4623,0.6475,0.8066,0.7879,0.2203,0.3521,0.4693,0.6194,0.7883,0.7754
DecisionTreeRegressor,0.3418,0.4127,0.5846,0.4363,0.7154,0.6973,0.2831,0.3780,0.5321,0.5108,0.7262,0.7286
RandomForestRegressor,0.2263,0.3403,0.4757,0.6268,0.7928,0.7852,0.2480,0.3671,0.4980,0.5714,0.7568,0.7530
GradientBoostingRegressor,0.2591,0.3862,0.5090,0.5727,0.7636,0.7465,0.2649,0.3968,0.5147,0.5423,0.7482,0.7298
AdaBoostRegressor,0.4178,0.5404,0.6464,0.3110,0.6234,0.5936,0.4029,0.5272,0.6347,0.3039,0.6550,0.6240
SVR,0.2640,0.3815,0.5138,0.5646,0.7534,0.7430,0.2748,0.3889,0.5242,0.5252,0.7261,0.7149
LinearRegression,0.3124,0.4067,0.5590,0.4847,0.7158,0.7248,0.2496,0.3817,0.4996,0.5688,0.7586,0.7409
KNeighborsRegressor,0.3665,0.4295,0.6054,0.3955,0.6492,0.6376,0.3612,0.4391,0.6010,0.3758,0.6326,0.6281
MLPRegressor,0.8201,0.6224,0.9056,-0.3526,0.5737,0.6280,0.5226,0.5265,0.7229,0.0969,0.6200,0.6359
