,Train MSE (10 fold CV),Train MAE (10 fold CV),Train RMSE (10 fold CV),Train R2 (10 fold CV),Train PCC (10 fold CV),Train SCC (10 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.1521430104607585,0.2845232178246985,0.39005513771870576,0.749077785923263,0.8656193859924352,0.8517376119867679,0.14626158375624496,0.2852148685714759,0.3824416082962796,0.7472685539232105,0.8655482009551116,0.8476209777243106
DecisionTreeRegressor,0.30116150473950815,0.40121269789484126,0.5487818371078876,0.5033086874312245,0.7543091635605501,0.7467117222166628,0.16385770890345816,0.2966261050777777,0.4047934150939935,0.7168634807686989,0.8478002485571788,0.8350921461576545
RandomForestRegressor,0.1456974489476523,0.27935301061506934,0.3817033520256959,0.7597081432491657,0.8716323870984991,0.8592322062056297,0.14736786380825556,0.28278951802274216,0.383885222180088,0.7453569668192688,0.8641322705990183,0.8515756751307835
GradientBoostingRegressor,0.14875724909276275,0.28420759273994,0.3856906131768866,0.7546617607389323,0.868856919066186,0.857435323079196,0.14890643865290934,0.2898961094355878,0.38588397045343736,0.742698399645302,0.8629020485412023,0.849749997528421
AdaBoostRegressor,0.15863403152419003,0.30144794636749667,0.39828887948848135,0.7383724543281908,0.8600134505036402,0.8429470594326843,0.17061287299536226,0.3159187891491113,0.41305311159142993,0.7051909530578123,0.8436013692687523,0.829993914228209
XGBRegressor,0.16337768014233173,0.29689410571092417,0.4042000496565181,0.7305489808050796,0.8555718411770965,0.8419602821725976,0.14944262969621713,0.2895598071345389,0.386578102970431,0.7417718929422539,0.8623560342413347,0.8464376056739807
ExtraTreesRegressor,0.1470520914346816,0.2826682028190177,0.383473716745596,0.7574739959748453,0.8703376399657459,0.8558359376221354,0.14757118164314875,0.2834075027659049,0.384149946821744,0.7450056455146163,0.8638487996939356,0.848919462328332
LinearRegression,0.15122695538378492,0.29044494353514844,0.38887910124328473,0.750588591890848,0.8664569618030638,0.8545276605660186,0.14986571200297535,0.2909849127010793,0.38712493074326193,0.7410408315080039,0.8624817719505241,0.8525074493846079
KNeighborsRegressor,0.1603055909651332,0.302870945528373,0.4003818064861754,0.7356156310300839,0.8581917962463848,0.8323823676812488,0.1690155065077676,0.3075472395652381,0.4111149553443265,0.707951108745701,0.8424845709845632,0.8250840066813202
SVR,0.1529375482746187,0.28869332354032,0.39107230568606965,0.7477673925846686,0.8648098644092052,0.8480006584589235,0.1465513291432127,0.2861996596288094,0.38282023084368555,0.7467678908730655,0.8652449177119341,0.8479816887231754
MLPRegressor,0.16631363271572583,0.3024437903496233,0.4078156847348148,0.7257068541907232,0.8523431665049321,0.8461800123379192,0.16427281261829543,0.30530181931933964,0.40530582603547094,0.7161462058737579,0.8468488978357612,0.8360336055851019
