,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1739,0.3129,0.4170,0.7132,0.8445,0.8281,0.1932,0.3420,0.4395,0.6662,0.8183,0.8005
DecisionTreeRegressor,0.3415,0.4364,0.5843,0.4369,0.7184,0.7009,0.2365,0.3644,0.4863,0.5914,0.7757,0.7399
RandomForestRegressor,0.1755,0.3124,0.4189,0.7106,0.8436,0.8263,0.2004,0.3505,0.4476,0.6538,0.8116,0.7881
GradientBoostingRegressor,0.1749,0.3135,0.4182,0.7115,0.8436,0.8244,0.1913,0.3409,0.4374,0.6694,0.8209,0.8024
AdaBoostRegressor,0.1932,0.3345,0.4396,0.6813,0.8294,0.8082,0.2164,0.3697,0.4652,0.6261,0.8024,0.7795
XGBRegressor,0.2029,0.3333,0.4505,0.6653,0.8174,0.7998,0.2032,0.3475,0.4508,0.6489,0.8079,0.7877
ExtraTreesRegressor,0.1651,0.3047,0.4063,0.7277,0.8537,0.8400,0.1895,0.3358,0.4353,0.6725,0.8225,0.8096
LinearRegression,1.0941,0.8077,1.0460,-0.8045,0.5198,0.5232,0.5765,0.5721,0.7593,0.0039,0.5820,0.5864
KNeighborsRegressor,0.1877,0.3190,0.4332,0.6905,0.8340,0.8071,0.1743,0.3161,0.4175,0.6987,0.8364,0.8180
SVR,0.1597,0.2977,0.3996,0.7366,0.8591,0.8536,0.1770,0.3236,0.4207,0.6941,0.8355,0.8275
MLPRegressor,0.7842,0.6384,0.8856,-0.2934,0.5486,0.5949,0.3938,0.4835,0.6276,0.3195,0.6474,0.6768
