,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1739,0.3137,0.4170,0.7132,0.8447,0.8271,0.2066,0.3479,0.4545,0.6430,0.8042,0.7809
DecisionTreeRegressor,0.3211,0.4200,0.5667,0.4704,0.7392,0.7129,0.2505,0.3878,0.5005,0.5672,0.7635,0.7325
RandomForestRegressor,0.1716,0.3099,0.4143,0.7169,0.8468,0.8272,0.2004,0.3476,0.4476,0.6537,0.8104,0.7842
GradientBoostingRegressor,0.1773,0.3177,0.4211,0.7075,0.8412,0.8197,0.2057,0.3515,0.4535,0.6446,0.8057,0.7826
AdaBoostRegressor,0.1910,0.3373,0.4371,0.6850,0.8324,0.8125,0.2176,0.3737,0.4664,0.6241,0.8018,0.7806
XGBRegressor,0.1953,0.3314,0.4419,0.6780,0.8251,0.8032,0.2111,0.3564,0.4595,0.6352,0.7990,0.7743
ExtraTreesRegressor,0.1712,0.3103,0.4138,0.7176,0.8472,0.8293,0.2031,0.3501,0.4507,0.6491,0.8077,0.7922
LinearRegression,0.1830,0.3300,0.4278,0.6982,0.8359,0.8208,0.2188,0.3793,0.4678,0.6218,0.7914,0.7719
KNeighborsRegressor,0.1941,0.3252,0.4405,0.6799,0.8282,0.8054,0.2161,0.3583,0.4649,0.6266,0.7967,0.7751
SVR,0.1736,0.3095,0.4166,0.7137,0.8451,0.8293,0.2124,0.3505,0.4609,0.6330,0.7969,0.7710
MLPRegressor,0.4749,0.5368,0.6891,0.2168,0.6641,0.6507,0.5047,0.5457,0.7104,0.1278,0.6134,0.5944
