,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6352,0.6581,0.7970,0.0180,0.2095,0.2556,0.4738,0.5765,0.6883,0.1946,0.4619,0.3928
DecisionTreeRegressor,0.9770,0.7465,0.9885,-0.5104,0.1998,0.3301,0.5878,0.6842,0.7667,0.0007,0.5665,0.3503
RandomForestRegressor,0.7208,0.6718,0.8490,-0.1142,0.2609,0.2915,0.4523,0.6170,0.6725,0.2310,0.5850,0.2755
GradientBoostingRegressor,0.9244,0.7330,0.9615,-0.4290,0.1934,0.3197,0.4531,0.6099,0.6732,0.2297,0.6410,0.3691
AdaBoostRegressor,0.6644,0.6473,0.8151,-0.0271,0.3346,0.3994,0.4028,0.5815,0.6347,0.3153,0.6216,0.3471
XGBRegressor,0.9284,0.7406,0.9635,-0.4351,0.2348,0.3847,0.5276,0.6344,0.7264,0.1030,0.5850,0.2424
ExtraTreesRegressor,0.8315,0.7196,0.9119,-0.2854,0.2574,0.3662,0.4578,0.6145,0.6766,0.2217,0.6482,0.2810
LinearRegression,0.8011,0.6724,0.8950,-0.2383,0.2747,0.3276,0.3999,0.5440,0.6324,0.3201,0.5849,0.4573
KNeighborsRegressor,0.6035,0.6162,0.7769,0.0670,0.4287,0.4489,0.4117,0.5695,0.6417,0.3000,0.5788,0.4055
SVR,0.6565,0.6301,0.8102,-0.0148,0.2482,0.1837,0.3816,0.4913,0.6178,0.3512,0.6918,0.4738
MLPRegressor,1.0003,0.7900,1.0002,-0.5464,0.1627,0.1297,0.4642,0.5618,0.6813,0.2109,0.5267,0.5372
