,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5925,0.6462,0.7697,0.0842,0.2978,0.3452,0.4601,0.5649,0.6783,0.2178,0.4908,0.4242
DecisionTreeRegressor,0.8452,0.6014,0.9193,-0.3065,0.2377,0.3955,0.4299,0.4963,0.6557,0.2691,0.6696,0.3691
RandomForestRegressor,0.6196,0.6139,0.7872,0.0422,0.3374,0.3979,0.3423,0.4966,0.5851,0.4180,0.6630,0.4242
GradientBoostingRegressor,0.7917,0.6344,0.8898,-0.2238,0.2420,0.3260,0.4180,0.5022,0.6465,0.2893,0.6244,0.2920
AdaBoostRegressor,0.7316,0.6605,0.8553,-0.1310,0.2356,0.3035,0.3009,0.4951,0.5486,0.4884,0.7113,0.3802
XGBRegressor,0.7512,0.6157,0.8667,-0.1613,0.3252,0.3985,0.4873,0.5501,0.6981,0.1716,0.6173,0.3471
ExtraTreesRegressor,0.7052,0.6066,0.8398,-0.0901,0.2956,0.3406,0.4109,0.5239,0.6411,0.3014,0.6292,0.2645
LinearRegression,5.6413,1.6446,2.3752,-7.7207,-0.2651,-0.1591,1.7674,1.0058,1.3294,-2.0046,0.5564,0.4876
KNeighborsRegressor,0.7792,0.6877,0.8827,-0.2045,0.1884,0.2396,0.3100,0.4936,0.5568,0.4730,0.7054,0.2869
SVR,0.7181,0.6804,0.8474,-0.1100,0.0831,0.0334,0.3605,0.4868,0.6004,0.3871,0.6547,0.5785
MLPRegressor,2.2557,1.1844,1.5019,-2.4870,-0.0639,-0.0356,0.9948,0.7896,0.9974,-0.6912,0.5828,0.4097
