,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5925,0.6462,0.7697,0.0842,0.2978,0.3452,0.4601,0.5649,0.6783,0.2178,0.4908,0.4242
DecisionTreeRegressor,0.9522,0.6424,0.9758,-0.4720,0.1765,0.3146,0.4552,0.5058,0.6747,0.2261,0.6500,0.4298
RandomForestRegressor,0.6189,0.6175,0.7867,0.0433,0.3409,0.4012,0.3385,0.4894,0.5818,0.4245,0.6682,0.4187
GradientBoostingRegressor,0.7879,0.6359,0.8877,-0.2180,0.2486,0.3507,0.4203,0.5029,0.6483,0.2855,0.6237,0.2975
AdaBoostRegressor,0.6813,0.6507,0.8254,-0.0532,0.2540,0.3129,0.2990,0.4981,0.5468,0.4917,0.7164,0.3967
XGBRegressor,0.7512,0.6157,0.8667,-0.1613,0.3252,0.3985,0.4873,0.5501,0.6981,0.1716,0.6173,0.3471
ExtraTreesRegressor,0.7336,0.6193,0.8565,-0.1340,0.2663,0.3221,0.4042,0.5173,0.6358,0.3128,0.6337,0.2645
LinearRegression,5.6413,1.6446,2.3752,-7.7207,-0.2651,-0.1591,1.7674,1.0058,1.3294,-2.0046,0.5564,0.4876
KNeighborsRegressor,0.7792,0.6877,0.8827,-0.2045,0.1884,0.2396,0.2925,0.4800,0.5409,0.5027,0.7262,0.3641
SVR,0.7181,0.6804,0.8474,-0.1100,0.0831,0.0334,0.3605,0.4868,0.6004,0.3871,0.6548,0.5785
MLPRegressor,2.1056,1.1317,1.4511,-2.2549,-0.0344,0.0522,1.0198,0.7129,1.0098,-0.7337,0.5193,0.3444
