,Feature,Importance
0,TDB1u,0.00044488758
1,TDB2u,8.508875e-05
2,TDB3u,0.003967593
3,TDB4u,0.0007572704
4,TDB5u,0.026739093
5,TDB6u,0.000115276
6,TDB7u,1.9443472e-05
7,TDB8u,0.002884729
8,TDB9u,0.00029907067
9,TDB10u,9.687359e-05
10,TDB1m,0.00012491923
11,TDB2m,0.0
12,TDB3m,2.426285e-05
13,TDB4m,0.0
14,TDB5m,0.00047755716
15,TDB6m,0.0
16,TDB7m,2.6582973e-07
17,TDB8m,0.0
18,TDB9m,9.6548625e-05
19,TDB10m,0.0053430693
20,TDB1v,0.0
21,TDB2v,0.0
22,TDB3v,0.10739873
23,TDB4v,0.002088585
24,TDB5v,0.012969947
25,TDB6v,3.6026597e-07
26,TDB7v,0.000743226
27,TDB8v,0.0
28,TDB9v,0.0012894549
29,TDB10v,0.00091237295
30,TDB1e,0.001004494
31,TDB2e,1.5708823e-05
32,TDB3e,0.0
33,TDB4e,0.0
34,TDB5e,5.2768382e-06
35,TDB6e,0.00021081555
36,TDB7e,0.0
37,TDB8e,0.0
38,TDB9e,2.5230414e-05
39,TDB10e,0.0
40,TDB1p,0.0
41,TDB2p,0.0
42,TDB3p,3.5731944e-05
43,TDB4p,0.0
44,TDB5p,0.0
45,TDB6p,1.2885799e-06
46,TDB7p,0.0
47,TDB8p,0.0
48,TDB9p,0.0005427685
49,TDB10p,0.0
50,TDB1i,0.011540006
51,TDB2i,0.0020887842
52,TDB3i,2.1136257e-05
53,TDB4i,0.0
54,TDB5i,0.0
55,TDB6i,2.2970245e-07
56,TDB7i,0.0
57,TDB8i,3.60813e-06
58,TDB9i,0.0
59,TDB10i,0.0
60,TDB1s,0.0006371745
61,TDB2s,2.0314756e-05
62,TDB3s,0.0
63,TDB4s,0.0
64,TDB5s,5.9271602e-05
65,TDB6s,4.9577473e-08
66,TDB7s,0.00019425187
67,TDB8s,0.0015026358
68,TDB9s,5.260371e-06
69,TDB10s,0.40683252
70,TDB1r,0.0012474128
71,TDB2r,0.0
72,TDB3r,0.0
73,TDB4r,0.0
74,TDB5r,0.0
75,TDB6r,8.228534e-08
76,TDB7r,0.0
77,TDB8r,0.0
78,TDB9r,1.5446418e-05
79,TDB10r,0.03742041
80,PPSA-1,5.3191387e-05
81,PPSA-2,9.408781e-08
82,PPSA-3,0.0
83,PNSA-1,3.2753447e-05
84,PNSA-2,0.0
85,PNSA-3,0.0038924534
86,DPSA-1,0.005832617
87,DPSA-2,0.0025657492
88,DPSA-3,0.0
89,FPSA-1,0.0
90,FPSA-2,0.0
91,FPSA-3,0.0017277907
92,FNSA-1,0.0
93,FNSA-2,0.0
94,FNSA-3,0.032493778
95,WPSA-1,0.0
96,WPSA-2,0.0
97,WPSA-3,0.027548106
98,WNSA-1,1.8039253e-06
99,WNSA-2,0.0
100,WNSA-3,0.0
101,RPCG,0.0
102,RNCG,0.0
103,RPCS,0.0
104,RNCS,0.0011464615
105,THSA,0.0
106,TPSA,0.0
107,RHSA,6.9270704e-06
108,RPSA,0.0
109,GRAV-1,0.0
110,GRAV-2,0.0
111,GRAV-3,0.0
112,GRAVH-1,0.0
113,GRAVH-2,0.0
114,GRAVH-3,0.0
115,GRAV-4,0.0
116,GRAV-5,0.0
117,GRAV-6,0.0
118,LOBMAX,0.0
119,LOBMIN,0.010595228
120,MOMI-X,0.0
121,MOMI-Y,8.348389e-05
122,MOMI-Z,0.0
123,MOMI-XY,0.0
124,MOMI-XZ,0.0
125,MOMI-YZ,0.0
126,MOMI-R,0.0
127,geomRadius,2.1002616e-07
128,geomDiameter,5.5099314e-05
129,geomShape,0.0
130,RDF10u,0.06739025
131,RDF15u,0.001021563
132,RDF20u,0.0
133,RDF25u,0.0
134,RDF30u,0.0
135,RDF35u,6.7602166e-08
136,RDF40u,0.0
137,RDF45u,0.0
138,RDF50u,0.0
139,RDF55u,0.0
140,RDF60u,0.0
141,RDF65u,0.0
142,RDF70u,0.0
143,RDF75u,0.0
144,RDF80u,0.0
145,RDF85u,0.0
146,RDF90u,0.0
147,RDF95u,0.0
148,RDF100u,1.062383e-06
149,RDF105u,0.0
150,RDF110u,1.3929886e-06
151,RDF115u,0.00079448574
152,RDF120u,0.0
153,RDF125u,0.0
154,RDF130u,0.0
155,RDF135u,0.0
156,RDF140u,0.0
157,RDF145u,0.0
158,RDF150u,0.0
159,RDF155u,0.0
160,RDF10m,0.0
161,RDF15m,0.0
162,RDF20m,0.0
163,RDF25m,0.0
164,RDF30m,0.0
165,RDF35m,0.0
166,RDF40m,7.947476e-05
167,RDF45m,0.0
168,RDF50m,0.0
169,RDF55m,0.0
170,RDF60m,0.0016384672
171,RDF65m,4.216002e-05
172,RDF70m,0.0
173,RDF75m,0.00010826372
174,RDF80m,1.0371473e-05
175,RDF85m,0.0
176,RDF90m,0.0
177,RDF95m,0.0
178,RDF100m,0.0
179,RDF105m,1.0836224e-06
180,RDF110m,0.0
181,RDF115m,0.013597485
182,RDF120m,0.0
183,RDF125m,0.0
184,RDF130m,0.0
185,RDF135m,3.1225889e-06
186,RDF140m,0.0
187,RDF145m,0.0
188,RDF150m,0.00023374261
189,RDF155m,9.229487e-06
190,RDF10v,0.0
191,RDF15v,0.0
192,RDF20v,0.0
193,RDF25v,0.0
194,RDF30v,9.168797e-07
195,RDF35v,0.0
196,RDF40v,1.1429299e-07
197,RDF45v,0.0
198,RDF50v,0.0
199,RDF55v,0.0
200,RDF60v,0.0
201,RDF65v,0.0
202,RDF70v,0.0
203,RDF75v,0.0
204,RDF80v,0.0020628476
205,RDF85v,3.6413437e-07
206,RDF90v,1.6304635e-06
207,RDF95v,0.0
208,RDF100v,0.0043086093
209,RDF105v,0.0
210,RDF110v,0.0
211,RDF115v,0.0
212,RDF120v,0.0
213,RDF125v,0.0
214,RDF130v,0.0
215,RDF135v,0.0
216,RDF140v,0.0
217,RDF145v,0.0
218,RDF150v,0.0
219,RDF155v,0.0
220,RDF10e,0.0
221,RDF15e,0.0
222,RDF20e,0.0
223,RDF25e,0.0
224,RDF30e,0.0
225,RDF35e,0.0
226,RDF40e,0.0
227,RDF45e,0.0
228,RDF50e,0.0
229,RDF55e,0.0
230,RDF60e,0.0
231,RDF65e,0.0
232,RDF70e,0.0
233,RDF75e,0.0
234,RDF80e,0.0
235,RDF85e,0.0
236,RDF90e,0.0
237,RDF95e,0.0
238,RDF100e,0.0
239,RDF105e,0.0
240,RDF110e,0.0
241,RDF115e,0.0
242,RDF120e,0.0
243,RDF125e,0.0
244,RDF130e,0.0
245,RDF135e,0.0
246,RDF140e,0.0
247,RDF145e,0.0
248,RDF150e,0.0
249,RDF155e,0.0
250,RDF10p,0.0
251,RDF15p,0.0
252,RDF20p,0.0
253,RDF25p,0.0
254,RDF30p,0.0
255,RDF35p,0.0
256,RDF40p,0.0
257,RDF45p,0.0
258,RDF50p,0.0
259,RDF55p,0.0
260,RDF60p,0.0
261,RDF65p,0.0
262,RDF70p,0.0
263,RDF75p,0.0
264,RDF80p,1.128609e-07
265,RDF85p,0.0
266,RDF90p,0.04124159
267,RDF95p,0.0
268,RDF100p,0.0
269,RDF105p,0.0
270,RDF110p,0.0
271,RDF115p,0.0
272,RDF120p,0.0
273,RDF125p,0.0
274,RDF130p,0.0
275,RDF135p,0.0
276,RDF140p,0.0
277,RDF145p,0.0
278,RDF150p,0.0
279,RDF155p,0.0
