,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.7086,0.7043,0.8418,-0.0955,0.1610,0.2433,0.4106,0.5170,0.6408,0.3020,0.5552,0.4429
DecisionTreeRegressor,1.0126,0.8244,1.0063,-0.5654,0.1473,0.1949,0.3960,0.5095,0.6293,0.3269,0.6550,0.4594
RandomForestRegressor,0.5504,0.6012,0.7419,0.1492,0.3907,0.4802,0.2802,0.4624,0.5293,0.5237,0.7537,0.6245
GradientBoostingRegressor,0.5385,0.5888,0.7339,0.1675,0.4348,0.5488,0.3870,0.5208,0.6221,0.3421,0.6178,0.4704
AdaBoostRegressor,0.5484,0.5515,0.7405,0.1523,0.4332,0.5336,0.2681,0.4427,0.5178,0.5442,0.7463,0.6575
XGBRegressor,0.5697,0.5914,0.7548,0.1194,0.3995,0.4236,0.4767,0.5736,0.6904,0.1896,0.5752,0.3934
ExtraTreesRegressor,0.5428,0.6034,0.7367,0.1610,0.4200,0.4529,0.3044,0.4737,0.5517,0.4825,0.7095,0.5860
LinearRegression,0.9834,0.7889,0.9916,-0.5201,0.1880,0.1624,1.1075,0.7275,1.0524,-0.8828,0.5218,0.5695
KNeighborsRegressor,0.6187,0.6299,0.7866,0.0435,0.3527,0.3727,0.3545,0.4874,0.5954,0.3973,0.6462,0.4772
SVR,0.6326,0.6335,0.7953,0.0221,0.2873,0.2640,0.3259,0.4675,0.5709,0.4460,0.7177,0.5640
MLPRegressor,1.5743,0.9401,1.2547,-1.4337,-0.0396,0.0469,0.5655,0.5911,0.7520,0.0387,0.4873,0.5117
