,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6551,0.6804,0.8094,-0.0127,0.2479,0.3164,0.3932,0.5127,0.6270,0.3316,0.5787,0.3769
DecisionTreeRegressor,0.7790,0.6813,0.8826,-0.2042,0.2808,0.2513,0.3609,0.4869,0.6008,0.3864,0.7259,0.5199
RandomForestRegressor,0.5214,0.5785,0.7221,0.1940,0.4419,0.5111,0.2722,0.4447,0.5217,0.5373,0.7570,0.5750
GradientBoostingRegressor,0.4969,0.5730,0.7049,0.2319,0.4890,0.5061,0.3413,0.5061,0.5842,0.4198,0.6814,0.4594
AdaBoostRegressor,0.5126,0.5581,0.7160,0.2076,0.4771,0.5435,0.2690,0.4377,0.5186,0.5427,0.7431,0.6135
XGBRegressor,0.5723,0.6026,0.7565,0.1153,0.4061,0.4362,0.3584,0.5070,0.5987,0.3906,0.6977,0.4924
ExtraTreesRegressor,0.5834,0.6217,0.7638,0.0982,0.3790,0.4269,0.3152,0.4685,0.5614,0.4642,0.7085,0.4979
LinearRegression,0.7728,0.6965,0.8791,-0.1947,0.3376,0.2498,1.1598,0.7835,1.0770,-0.9718,0.4587,0.4099
KNeighborsRegressor,0.6093,0.6176,0.7806,0.0581,0.3663,0.3544,0.3369,0.4582,0.5804,0.4272,0.6560,0.5096
SVR,0.6213,0.6225,0.7882,0.0396,0.2998,0.2720,0.3420,0.4833,0.5848,0.4186,0.6820,0.4154
MLPRegressor,1.4264,0.8638,1.1943,-1.2051,0.1556,0.2191,0.8467,0.7702,0.9202,-0.4395,0.3846,0.4539
