,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6551,0.6804,0.8094,-0.0127,0.2479,0.3164,0.3932,0.5127,0.6270,0.3316,0.5787,0.3769
DecisionTreeRegressor,0.9528,0.7685,0.9761,-0.4730,0.2094,0.1735,0.5209,0.6305,0.7217,0.1145,0.5418,0.3989
RandomForestRegressor,0.5210,0.5814,0.7218,0.1946,0.4438,0.5242,0.2656,0.4382,0.5154,0.5484,0.7650,0.5750
GradientBoostingRegressor,0.4639,0.5520,0.6811,0.2828,0.5351,0.5562,0.3523,0.5124,0.5936,0.4010,0.6729,0.4759
AdaBoostRegressor,0.5573,0.5859,0.7465,0.1385,0.4184,0.4662,0.2840,0.4264,0.5329,0.5172,0.7310,0.5640
XGBRegressor,0.5723,0.6026,0.7565,0.1153,0.4061,0.4362,0.3584,0.5070,0.5987,0.3906,0.6977,0.4924
ExtraTreesRegressor,0.6190,0.6435,0.7868,0.0431,0.3234,0.3281,0.3053,0.4682,0.5526,0.4809,0.7124,0.4319
LinearRegression,0.7728,0.6965,0.8791,-0.1947,0.3376,0.2498,1.1598,0.7835,1.0770,-0.9718,0.4587,0.4099
KNeighborsRegressor,0.6093,0.6176,0.7806,0.0581,0.3663,0.3544,0.3369,0.4582,0.5804,0.4272,0.6560,0.5096
SVR,0.6213,0.6225,0.7882,0.0395,0.2998,0.2720,0.3420,0.4833,0.5848,0.4186,0.6820,0.4154
MLPRegressor,1.3918,0.9018,1.1798,-1.1516,0.2228,0.2096,0.8616,0.7858,0.9282,-0.4648,0.4478,0.3356
