,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6202,0.6549,0.7875,0.0413,0.2980,0.4191,0.3628,0.5291,0.6024,0.3832,0.6366,0.4374
DecisionTreeRegressor,1.1278,0.8467,1.0620,-0.7435,0.0881,0.0771,0.4273,0.6015,0.6537,0.2736,0.7205,0.4099
RandomForestRegressor,0.6388,0.6706,0.7992,0.0126,0.2598,0.2851,0.3109,0.5044,0.5576,0.4715,0.7269,0.3769
GradientBoostingRegressor,0.7691,0.7112,0.8770,-0.1889,0.1861,0.2655,0.3247,0.5108,0.5699,0.4479,0.7452,0.3824
AdaBoostRegressor,0.6392,0.6399,0.7995,0.0119,0.3055,0.3204,0.2864,0.4559,0.5351,0.5132,0.7482,0.3549
XGBRegressor,0.7669,0.6984,0.8757,-0.1855,0.2632,0.3223,0.5071,0.6044,0.7121,0.1380,0.6302,0.4154
ExtraTreesRegressor,0.6573,0.6615,0.8108,-0.0161,0.2911,0.2850,0.3514,0.5109,0.5928,0.4027,0.7148,0.3604
LinearRegression,1.5107,0.9304,1.2291,-1.3353,0.1402,0.1425,0.9913,0.6984,0.9956,-0.6853,0.6566,0.6190
KNeighborsRegressor,0.6246,0.6240,0.7903,0.0344,0.3493,0.3468,0.3360,0.4529,0.5796,0.4288,0.6563,0.4601
SVR,0.6481,0.6385,0.8050,-0.0019,0.2497,0.2574,0.3080,0.4708,0.5550,0.4764,0.7238,0.4209
MLPRegressor,1.2917,0.8726,1.1365,-0.9968,0.1167,0.1530,0.2433,0.4114,0.4933,0.5864,0.8177,0.6960
