,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6226,0.6560,0.7891,0.0375,0.2877,0.3383,0.3476,0.4919,0.5896,0.4090,0.6578,0.5254
DecisionTreeRegressor,1.0671,0.7701,1.0330,-0.6496,0.2083,0.3295,0.3752,0.5203,0.6125,0.3622,0.7445,0.5640
RandomForestRegressor,0.6419,0.6625,0.8012,0.0078,0.2704,0.3006,0.3152,0.4952,0.5614,0.4641,0.7171,0.3879
GradientBoostingRegressor,0.7878,0.6944,0.8876,-0.2179,0.2043,0.2876,0.3594,0.5258,0.5995,0.3890,0.7213,0.3549
AdaBoostRegressor,0.5798,0.6209,0.7614,0.1037,0.3944,0.4145,0.2934,0.4753,0.5416,0.5013,0.7583,0.4429
XGBRegressor,0.7579,0.6859,0.8706,-0.1716,0.2641,0.3381,0.3923,0.5323,0.6264,0.3330,0.7022,0.4594
ExtraTreesRegressor,0.5740,0.6175,0.7576,0.1127,0.3987,0.4086,0.3549,0.5168,0.5957,0.3966,0.7249,0.3604
LinearRegression,1.6082,0.9624,1.2681,-1.4860,0.2070,0.1695,1.2126,0.8841,1.1012,-1.0615,0.6696,0.5420
KNeighborsRegressor,0.7606,0.6888,0.8721,-0.1758,0.1972,0.1884,0.3584,0.4947,0.5987,0.3907,0.6323,0.3884
SVR,0.6860,0.6628,0.8282,-0.0604,0.1776,0.1663,0.3053,0.4944,0.5525,0.4810,0.7112,0.4814
MLPRegressor,1.7362,1.0173,1.3177,-1.6840,-0.0693,-0.0432,0.9606,0.6022,0.9801,-0.6331,0.6579,0.6905
