,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6042,0.6524,0.7773,0.0660,0.3254,0.4040,0.3575,0.5034,0.5979,0.3922,0.6329,0.4759
DecisionTreeRegressor,0.9040,0.7264,0.9508,-0.3974,0.1806,0.2039,0.5131,0.6335,0.7163,0.1277,0.6648,0.3494
RandomForestRegressor,0.6202,0.6514,0.7876,0.0412,0.2880,0.3323,0.3019,0.4846,0.5495,0.4867,0.7218,0.3439
GradientBoostingRegressor,0.6447,0.6467,0.8029,0.0034,0.3349,0.3709,0.3524,0.5220,0.5936,0.4009,0.7207,0.3164
AdaBoostRegressor,0.6007,0.6351,0.7751,0.0714,0.3471,0.3793,0.3182,0.4813,0.5641,0.4591,0.7173,0.3439
XGBRegressor,0.7467,0.6846,0.8641,-0.1542,0.2347,0.2279,0.3926,0.5407,0.6265,0.3326,0.6928,0.4429
ExtraTreesRegressor,0.6608,0.6546,0.8129,-0.0215,0.3091,0.3083,0.3504,0.5136,0.5919,0.4043,0.7085,0.3384
LinearRegression,1.2503,0.8521,1.1182,-0.9328,0.2074,0.2160,0.9142,0.6284,0.9561,-0.5542,0.6510,0.5695
KNeighborsRegressor,0.6515,0.6256,0.8071,-0.0071,0.3031,0.3179,0.3412,0.4607,0.5841,0.4200,0.6493,0.4441
SVR,0.6550,0.6383,0.8093,-0.0126,0.2352,0.2358,0.3100,0.4795,0.5568,0.4729,0.7179,0.3934
MLPRegressor,1.4397,0.8839,1.1999,-1.2256,0.1207,0.1499,0.6860,0.6382,0.8283,-0.1663,0.5852,0.3659
