,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.6071,0.6320,0.7792,0.0615,0.3153,0.4181,0.3582,0.5320,0.5985,0.3911,0.6440,0.4429
DecisionTreeRegressor,1.0897,0.8485,1.0439,-0.6846,-0.0984,-0.0872,0.3552,0.5178,0.5960,0.3962,0.7409,0.4814
RandomForestRegressor,0.6340,0.6681,0.7963,0.0199,0.2717,0.3219,0.3049,0.4866,0.5521,0.4817,0.7223,0.3769
GradientBoostingRegressor,0.7305,0.7206,0.8547,-0.1292,0.1850,0.2543,0.3031,0.4884,0.5506,0.4847,0.7537,0.3659
AdaBoostRegressor,0.6037,0.6306,0.7770,0.0668,0.3474,0.4180,0.2878,0.4587,0.5365,0.5107,0.7560,0.3824
XGBRegressor,0.7427,0.6901,0.8618,-0.1481,0.2269,0.2701,0.4035,0.5524,0.6353,0.3140,0.6761,0.3604
ExtraTreesRegressor,0.6306,0.6453,0.7941,0.0251,0.3239,0.3270,0.3474,0.5066,0.5894,0.4095,0.7188,0.3989
LinearRegression,1.7155,0.9672,1.3098,-1.6519,0.0494,0.0720,1.1521,0.7444,1.0734,-0.9586,0.5977,0.5585
KNeighborsRegressor,0.6255,0.6300,0.7909,0.0330,0.3420,0.3497,0.3479,0.4730,0.5898,0.4086,0.6504,0.4441
SVR,0.6519,0.6428,0.8074,-0.0078,0.2441,0.2473,0.2998,0.4621,0.5476,0.4903,0.7397,0.3824
MLPRegressor,1.3689,0.9113,1.1700,-1.1161,0.0136,0.0048,0.3296,0.5141,0.5741,0.4397,0.7637,0.6575
