,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5961,0.6385,0.7721,0.0785,0.3346,0.4345,0.3518,0.4970,0.5932,0.4019,0.6416,0.4924
DecisionTreeRegressor,0.8770,0.7149,0.9365,-0.3557,0.1436,0.1671,0.3547,0.5295,0.5956,0.3970,0.7057,0.3769
RandomForestRegressor,0.6054,0.6416,0.7781,0.0641,0.3164,0.3461,0.3099,0.4942,0.5567,0.4732,0.7070,0.3329
GradientBoostingRegressor,0.6708,0.6579,0.8190,-0.0370,0.2967,0.3218,0.3615,0.5231,0.6013,0.3854,0.6847,0.3164
AdaBoostRegressor,0.5981,0.6230,0.7734,0.0754,0.3506,0.3781,0.3265,0.4916,0.5714,0.4449,0.7020,0.3439
XGBRegressor,0.7197,0.6682,0.8483,-0.1125,0.2712,0.3061,0.4233,0.5436,0.6506,0.2804,0.6281,0.3219
ExtraTreesRegressor,0.6807,0.6676,0.8250,-0.0522,0.2820,0.3173,0.3478,0.5026,0.5897,0.4088,0.7047,0.3384
LinearRegression,1.3123,0.8872,1.1456,-1.0286,0.2001,0.1822,0.9660,0.6423,0.9829,-0.6423,0.6406,0.6025
KNeighborsRegressor,0.5899,0.6026,0.7681,0.0880,0.3845,0.3882,0.3567,0.4905,0.5972,0.3936,0.6362,0.4490
SVR,0.6624,0.6444,0.8139,-0.0240,0.2248,0.2369,0.3024,0.4747,0.5499,0.4859,0.7269,0.4209
MLPRegressor,1.0785,0.7945,1.0385,-0.6672,0.1914,0.1835,0.4917,0.6127,0.7012,0.1641,0.7727,0.6245
