,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5961,0.6385,0.7721,0.0785,0.3346,0.4345,0.3518,0.4970,0.5932,0.4019,0.6416,0.4924
DecisionTreeRegressor,1.0721,0.7976,1.0354,-0.6572,0.0551,0.0802,0.4454,0.5858,0.6674,0.2428,0.6718,0.3769
RandomForestRegressor,0.6095,0.6448,0.7807,0.0579,0.3096,0.3422,0.3090,0.4946,0.5559,0.4747,0.7088,0.3329
GradientBoostingRegressor,0.6542,0.6464,0.8088,-0.0112,0.3167,0.3537,0.3530,0.5242,0.5942,0.3999,0.6934,0.3164
AdaBoostRegressor,0.6284,0.6416,0.7927,0.0286,0.3176,0.3416,0.2956,0.4683,0.5437,0.4975,0.7310,0.3494
XGBRegressor,0.7197,0.6682,0.8483,-0.1125,0.2712,0.3061,0.4233,0.5436,0.6506,0.2804,0.6281,0.3219
ExtraTreesRegressor,0.6603,0.6560,0.8126,-0.0208,0.3052,0.3340,0.3325,0.4885,0.5766,0.4348,0.7144,0.3769
LinearRegression,1.3123,0.8872,1.1456,-1.0286,0.2001,0.1822,0.9660,0.6423,0.9829,-0.6423,0.6406,0.6025
KNeighborsRegressor,0.5899,0.6026,0.7681,0.0880,0.3845,0.3882,0.3567,0.4905,0.5972,0.3936,0.6362,0.4490
SVR,0.6623,0.6444,0.8138,-0.0239,0.2250,0.2369,0.3024,0.4747,0.5499,0.4859,0.7269,0.4209
MLPRegressor,1.3838,0.8951,1.1764,-1.1392,0.0622,0.1036,0.8837,0.6702,0.9401,-0.5024,0.6820,0.5970
